run,task,group,seed,eval_sha256,eval_raw_rows,deterministic_rows_excluded,eval_duplicate_steps,eval_backward_jumps,eval_removed_rows,eval_clean_rows,eval_last_env,eval_last_wall_time,eval_legacy_extra_rows,train_sha256,train_raw_rows,train_duplicate_steps,train_backward_jumps,train_removed_rows,train_clean_rows,train_last_env,train_last_wall_time,train_legacy_extra_rows
can_alr_double_s1,can,alr_double,1,9c751901044e563637f1f2b1ef5f5d00ca588c7f6d90f5a809ca2b5efdbcf77f,33,0,0,0,0,33,126896,2026-09-05 06:00:22,0,dd39a09a20d92d56e4a74d7f086fb4ee8472ee8320d7d743bf5bbce8b76a2e20,104,0,0,0,104,148816,2026-09-05 06:51:47,0
can_alr_double_s2,can,alr_double,2,c4fd8aaf4763f6b1a8fd60290d5e8e022d77c7502ae50a9cf1f105ee7a60ba5b,33,0,0,0,0,33,126896,2026-09-05 05:54:05,0,2941f336d5d5bd3f7ce16e7c24bb3d1e682321b89ab9b4b98d6f682b208935ac,104,0,0,0,104,148816,2026-09-05 06:45:49,0
can_alr_double_s3,can,alr_double,3,912ec2ac24c77732c394e656dabbb0fb7709417ddf19db67c99545aab83305ba,33,0,0,0,0,33,126896,2026-09-05 05:55:26,0,672a46c3ec41d789d95d3c4d631db76d18bb0f62b26d9528a819d40e98ff1b39,104,0,0,0,104,148816,2026-09-05 06:47:15,0
can_alr_half_s1,can,alr_half,1,4245a8c96b4ba8722a88e74d17937b6c74fd3660c649c6db8e62cd92a90f7a3d,33,0,0,0,0,33,126896,2026-09-05 06:00:23,0,e72835b500d94c1e96b6e8cda762f9aaae9eabe678a193e2d84212e84c0a2d66,104,0,0,0,104,148816,2026-09-05 06:51:47,0
can_alr_half_s2,can,alr_half,2,fe3ddd49ac9d4fc7adf43a72df4642c635c6697d3e10c1194c70fbf36a5add43,33,0,0,0,0,33,126896,2026-09-05 05:57:33,0,b82a772af6e31e38bd5b581b909cfdb9df97cb389a5b3841b012d03e5632da21,104,0,0,0,104,148816,2026-09-05 06:49:28,0
can_alr_half_s3,can,alr_half,3,6b471e8d16f9e780f0d9da71192a4056685ea81e3b86c44e3644f25f99526827,33,0,0,0,0,33,126896,2026-09-05 05:58:51,0,b96589f1d6e9617b27fc7cd44dee2c7ee51ec51c607d954eb1f0d6458c23cb56,104,0,0,0,104,148816,2026-09-05 06:50:28,0
can_baseline_s1,can,baseline,1,713adcd0fdb8db6d5a1a18f18ab7ae6fa837316c6d4707d8a73aaaa776e15439,25,0,1,0,1,24,279200,2026-09-04 15:37:50,0,2a7558d593e3ceafdd506f8db57d8aadd28f0774557b40ea00391c9161c91811,241,0,1,11,230,299872,2026-09-04 16:28:03,11
can_baseline_s2,can,baseline,2,78b74c08c62b5cebf3b0e0adb619e83e9a9887a3c145419d387a136a7f19ae87,26,0,2,1,2,24,279200,2026-09-04 19:24:07,0,e7cfab5a25407b1091a1dfb60f1edf94d4d2720f5148b0ad02a04e7147c712ba,250,0,1,20,230,299440,2026-09-04 19:51:23,20
can_baseline_s3,can,baseline,3,eefbb065534722dd40a5e1c75f25a8549e924667e3a833c1e9b906da522458d7,26,0,2,1,2,24,279200,2026-09-04 19:24:57,0,29b2ecd5697dd9d39ae734568a5b1d307a07fab0cde0b340e62ce4be537ba897,248,0,1,18,230,299440,2026-09-04 19:52:17,18
can_baseline_s4,can,baseline,4,f1e1bfa91725e44a672277a2ba255a40c411490fc100435156e2c534daef07f0,18,0,0,0,0,18,129152,2026-09-04 17:56:17,0,efe1dbf241a7a0b3a59d2e4cdab962c1c4d206b8316a48b342afb8466727fd35,104,0,0,0,104,148816,2026-09-04 18:42:56,0
can_baseline_s5,can,baseline,5,fd3f7d1c774b30231f8e874a626ddeb2bb342a43c49be27945d1f72ea4024dfb,18,0,0,0,0,18,129152,2026-09-04 18:01:25,0,94fda435bba32bd6bc9a1c39b506f4db8478b8038d8de0fbc1164fdc5e3500e2,104,0,0,0,104,148816,2026-09-04 18:47:02,0
can_calql_prefill_s1,can,calql_prefill,1,12967a29fa04431b2496e8e9cdad6c1877fafaa1ead3e9d0605e2e0aac819f7a,18,0,0,0,0,18,129152,2026-09-07 16:22:50,0,7933000811f760c5eeb6d7af69f77f64a030c38c6e20b00b2648891e7d256c75,104,0,0,0,104,148816,2026-09-07 17:02:53,0
can_calql_prefill_s2,can,calql_prefill,2,1142146f88ca71492fd8042572b2fd1702eba78f962c14dce5fecee9016f80fd,18,0,0,0,0,18,129152,2026-09-07 16:26:22,0,730307f5c844aca56727608b10dd55f78e7a6df259e8abb51c2ac7da076c287f,104,0,0,0,104,148816,2026-09-07 17:06:53,0
can_calql_prefill_s3,can,calql_prefill,3,2c8da9f920018ef630759287a4c96dff09ee15e1a67da2dd5d6ef2cc2b09266d,18,0,0,0,0,18,129152,2026-09-07 16:27:50,0,53ccfbbd91de0efd1667436b5186c1cfbaff4f5a9e716caeb0b6aa36248aa6e4,104,0,0,0,104,148816,2026-09-07 17:08:38,0
can_calql_s1,can,calql,1,880fad6a24346f855118368758571ee3222bc84e39daa6632f437e0db8851b17,18,0,0,0,0,18,129152,2026-09-07 16:48:00,0,60296f3639c7457884c70db168a0a72d80cb9df8139e7956b8302564d5086537,104,0,0,0,104,148816,2026-09-07 17:28:26,0
can_calql_s2,can,calql,2,b5293af280b93017a19acb0a945a1b8d16041954b56f8845a718af5b03de0820,18,0,0,0,0,18,129152,2026-09-07 16:40:33,0,59c8e35572dcc741faa3a652efd6e98ca8629ccb7aa93403776e429d02a4fdb7,104,0,0,0,104,148816,2026-09-07 17:21:44,0
can_calql_s3,can,calql,3,19385f9da8fcb200586dd4458006db37f283c9e74f38e93bc02af5cde1acae2a,20,0,2,1,2,18,129152,2026-09-07 17:02:15,0,baa74456168f5cf3f7a3bef60db78326b6debc57a675bb2ea85c861ae2679c42,112,8,1,8,104,148816,2026-09-07 17:18:19,0
can_calql_t12i_s1,can,calql_t12i,1,5ae12d25f39845ac2eff312edc73214c2ed3661dd0db67ddccafb6e34605792b,18,0,0,0,0,18,129152,2026-09-07 16:25:32,0,64cf3abcd4bf34309809e6f61456a89f4430a7260497294e82bed578a90d3e56,104,0,0,0,104,148816,2026-09-07 17:05:58,0
can_calql_t12i_s2,can,calql_t12i,2,0d7fcd92fea578092762c68abf9f3b791c9505818fc377b041b66b2fa3cb0149,18,0,0,0,0,18,129152,2026-09-07 16:27:23,0,beeb996b61b1f3c16656a35b7b482d23792ad7b510038dcc2f8bcdb8a3a42c49,104,0,0,0,104,148816,2026-09-07 17:08:11,0
