task,treatment,comparator,metric,n,seeds,delta,delta_se,positive_n,negative_n,per_seed_deltas
can,alr_double,baseline,auc_early,3,"1,2,3",0.03530322173089071,0.03008016095390176,2,1,"{""1"": 0.05469572541587703, ""2"": 0.07492630027374192, ""3"": -0.023712360496946805}"
can,alr_double,baseline,endpoint,0,,,,0,0,{}
can,alr_double,baseline,at10k,3,"1,2,3",0.0233333333333333,0.056075346137535766,1,1,"{""1"": 0.13, ""2"": 0.0, ""3"": -0.06000000000000011}"
can,alr_double,baseline,mean_deficit_pi_dp,3,"1,2,3",0.004449422617103787,0.009630614696990013,1,2,"{""1"": -0.005568688284902784, ""2"": -0.004788427167485777, ""3"": 0.023705383303699923}"
can,alr_half,baseline,auc_early,3,"1,2,3",-0.04031129360567137,0.01504072700573176,0,3,"{""1"": -0.048515476942514235, ""2"": -0.06127289955780163, ""3"": -0.011145504316698251}"
can,alr_half,baseline,endpoint,0,,,,0,0,{}
can,alr_half,baseline,at10k,3,"1,2,3",-0.030000000000000016,0.04358898943540674,1,2,"{""1"": -0.1, ""2"": -0.040000000000000036, ""3"": 0.04999999999999999}"
can,alr_half,baseline,mean_deficit_pi_dp,3,"1,2,3",0.021909586631042224,0.0024767720986687523,3,0,"{""1"": 0.0267553441662757, ""2"": 0.020376750288553656, ""3"": 0.018596665438297313}"
can,calql_prefill,baseline,auc_early,3,"1,2,3",0.22267880957394537,0.02455156775947996,3,0,"{""1"": 0.24300063171193936, ""2"": 0.17380606443461777, ""3"": 0.25122973257527903}"
can,calql_prefill,baseline,endpoint,3,"1,2,3",0.2916666666666667,0.05783117190965823,3,0,"{""1"": 0.21500000000000008, ""2"": 0.255, ""3"": 0.405}"
can,calql_prefill,baseline,at10k,3,"1,2,3",0.33,0.14571661996262927,3,0,"{""1"": 0.44999999999999996, ""2"": 0.040000000000000036, ""3"": 0.5}"
can,calql_prefill,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.024199217552771834,0.007399801009004569,0,3,"{""1"": -0.026546576052298338, ""2"": -0.010370950361292711, ""3"": -0.03568012624472444}"
