task,group,bin_online,ent_coef_mean,ent_coef_sem,ent_coef_count,logp_mean_mean,logp_mean_sem,logp_mean_count,qw_mean_mean,qw_mean_sem,qw_mean_count,w_absmean_mean,w_absmean_sem,w_absmean_count,mu_absmean_mean,mu_absmean_sem,mu_absmean_count,w_frac_sat_mean,w_frac_sat_sem,w_frac_sat_count,log_std_mean_mean,log_std_mean_sem,log_std_mean_count,offline_p_mean,offline_p_sem,offline_p_count,ratio_ge_gq_mean,ratio_ge_gq_sem,ratio_ge_gq_count,gq_norm_mean,gq_norm_sem,gq_norm_count,entropy_estimate_mean,entropy_estimate_sem,entropy_estimate_count
can,alr_double,0,0.18544569681398568,0.001036584175822368,3,-10.420958598454794,0.1291959212298981,3,57.082077980041504,0.5682228648341454,3,0.5593960086504618,0.0016424872659613332,3,0.46110792147616547,0.0032136632772149544,3,0.14582171477377415,0.002491789938010246,3,-0.279121042539676,0.009012572885250179,3,0.0,0.0,3,,,0,,,0,10.420958598454794,0.1291959212298981,3
can,alr_double,5000,0.07123684262235956,0.0019904755586107672,3,1.1736817322671413,0.7229031706026782,3,-2.8724106897910437,2.8805377613117,3,0.6171651085217794,0.0028144100705756844,3,0.8071953554948171,0.016528383330310818,3,0.2265973873436451,0.0038889292239817274,3,-0.44532518833875656,0.01292955039832886,3,0.0,0.0,3,,,0,,,0,-1.1736817322671413,0.7229031706026782,3
can,alr_double,10000,0.08813617505754029,0.00046947587226435744,3,0.6433703030149142,0.39953774925644797,3,-26.254966100056965,4.5063270100156085,3,0.6149700631697973,0.0020564996041526544,3,0.8001219729582468,0.005861208664319333,3,0.22271438936392465,0.003892177309141931,3,-0.43061283479134244,0.022222911838689408,3,0.0,0.0,3,,,0,,,0,-0.6433703030149142,0.39953774925644797,3
can,alr_double,15000,0.08241833150386807,0.001307531616033649,3,0.11570999523003898,0.11959369328470747,3,-24.21167294184367,3.819707703564754,3,0.6148070394992828,0.002265580685728157,3,0.7962671369314194,0.008343587830934876,3,0.2229352779686451,0.004018354886603448,3,-0.41706638783216476,0.006957809754956951,3,0.0,0.0,3,,,0,,,0,-0.11570999523003898,0.11959369328470747,3
can,alr_double,20000,0.07605918686216073,0.0011051778803551804,3,0.48996642231941223,0.19568381876550936,3,-21.684333244959515,4.650028358823522,3,0.6201641261577606,0.002096231328356331,3,0.8067530045906702,0.004233315956385321,3,0.23181734730799994,0.004174710885275909,3,-0.4016133149464925,0.0037526125921951104,3,0.0,0.0,3,,,0,,,0,-0.48996642231941223,0.19568381876550936,3
can,alr_double,25000,0.07198337245111659,0.0030926134845519057,3,0.4130247750629981,0.11838213698367271,3,-19.418526967366535,3.496314108778792,3,0.6210947583119074,0.0010428663047977774,3,0.8064189404249191,0.0032027210085774946,3,0.2344680167734623,0.0007219194921064744,3,-0.3977845534682274,0.0021439135339222574,3,0.0,0.0,3,,,0,,,0,-0.4130247750629981,0.11838213698367271,3
can,alr_double,30000,0.07050840017696218,0.006022177642864103,3,0.32024567276239396,0.24819922019300808,3,-18.114831781387327,6.8823458702252776,3,0.6221556385358175,0.0015642636848340154,3,0.8101974606513976,0.007765167471738463,3,0.23442151347796122,0.003841416239773467,3,-0.396174544095993,0.0037082611765361846,3,0.0,0.0,3,,,0,,,0,-0.32024567276239396,0.24819922019300808,3
can,alr_double,35000,0.07013374782788252,0.007268974233541432,3,-0.02366006374359131,0.18724620939956815,3,-17.620825121800106,8.166723923434693,3,0.6191344608863195,0.0009562671624299558,3,0.8018415172894796,0.0025849363740077995,3,0.22941081846753755,0.0028735344162006027,3,-0.3958488081892331,0.006204489510639176,3,0.0,0.0,3,,,0,,,0,0.02366006374359131,0.18724620939956815,3
can,alr_double,40000,0.06567573805029188,0.007131579366199443,3,0.3397213264058034,0.20430183685183537,3,-18.02123987674713,9.410337102364824,3,0.6209027121464411,0.002411201161161035,3,0.8055790762106577,0.00896291097494465,3,0.23554921274383864,0.004021752628201145,3,-0.39730869730313617,0.00871358097001062,3,0.0,0.0,3,,,0,,,0,-0.3397213264058034,0.20430183685183537,3
can,alr_double,45000,0.060678977100178555,0.005672806097383354,3,0.2084987349808216,0.16870906476916217,3,-20.868086000283558,8.852296132482946,3,0.62044358253479,0.001621168778116448,3,0.8017721772193909,0.004279770641932257,3,0.23302642504374185,0.0033071711829592617,3,-0.39377448956171673,0.006228587627793992,3,0.0,0.0,3,,,0,,,0,-0.2084987349808216,0.16870906476916217,3
can,alr_double,50000,0.058033725603794,0.004089608230986272,3,0.154582109923164,0.20098580845285577,3,-23.965628420313198,8.728673359439336,3,0.6213897317647934,0.0012944445718423533,3,0.799799179037412,0.006200703282769149,3,0.23227075239022574,0.0023362814923463837,3,-0.397311732172966,0.0061136445492011885,3,0.0,0.0,3,,,0,,,0,-0.154582109923164,0.20098580845285577,3
can,alr_double,55000,0.0561334970872849,0.0032774781664566266,3,0.07798600445191066,0.15592167834357362,3,-27.55530095100403,6.702466595438737,3,0.6198946386575699,0.0011726967731258086,3,0.7964239070812861,0.002156594103360266,3,0.2279924787580967,0.0003857571009748541,3,-0.3999175851543744,0.007000178486007478,3,0.0,0.0,3,,,0,,,0,-0.07798600445191066,0.15592167834357362,3
can,alr_double,60000,0.05431612368673081,0.0032946596898316095,3,-0.10817068815231327,0.27841903239368904,3,-27.516991297403973,4.582430792645003,3,0.6206158041954041,0.0020406170370593484,3,0.7968122998873394,0.007030335468372005,3,0.22925038337707518,0.002691828028739033,3,-0.3968843301137288,0.005631422569075318,3,0.0,0.0,3,,,0,,,0,0.10817068815231327,0.27841903239368904,3
