task,group,n,seeds,endpoint_target_env,early_until_online,first_success,first_success_se,first_success_n,auc_early,auc_early_se,auc_early_n,auc_early_boundary_linear,auc_early_boundary_linear_se,auc_early_boundary_linear_n,mean_deficit_pi_dp,mean_deficit_pi_dp_se,mean_deficit_pi_dp_n,min_observed,min_observed_se,min_observed_n,dip_from_start,dip_from_start_se,dip_from_start_n,min_grid,min_grid_se,min_grid_n,at10k,at10k_se,at10k_n,pre100k_success,pre100k_success_se,pre100k_success_n,endpoint,endpoint_se,endpoint_n,at125k_interpolated,at125k_interpolated_se,at125k_interpolated_n,recovery_pi_dp,recovery_pi_dp_se,recovery_pi_dp_n,t50_post_update,t50_post_update_se,t50_post_update_n,t80_post_update,t80_post_update_se,t80_post_update_n,min_mean_curve,min_mean_curve_online,min_mean_curve_se_at_selected_point,no_dip_observed_n,no_dip_grid_n
can,alr_double,3,"1,2,3",129152,75984,0.5066666666666667,0.13956280943638882,3,0.4672696006176739,0.06184577788160313,3,0.4672373008240867,0.06187518015795555,3,0.03379572083920899,0.020764745283426648,3,0.1433333333333333,0.05666666666666665,3,0.36333333333333334,0.09024657580453922,3,0.26050955414012733,0.09912639216881985,3,0.32666666666666666,0.1337078074675439,3,0.5266666666666667,0.08762292952063275,3,,,0,0.5489107485604607,0.019988315295914518,3,15909.333333333334,4662.074693143006,3,5861.333333333333,3349.333333333333,3,,,0,0.2817834394904459,5008,0.07883464475109243,0,0
can,alr_half,3,"1,2,3",129152,75984,0.5299999999999999,0.11789826122551599,3,0.3916550852811118,0.018528430580324436,3,0.39180298433595806,0.018480089069629863,3,0.05125588485314742,0.011059058325368777,3,0.1433333333333333,0.027284509239574834,3,0.38666666666666666,0.10666666666666667,3,0.2010403397027601,0.025937578265735835,3,0.2733333333333334,0.10349449797506681,3,0.35000000000000003,0.02081665999466133,3,,,0,0.39488003838771596,0.04012995941540843,3,25120.0,5024.000000000001,3,3349.3333333333335,837.3333333333334,3,,,0,0.27677282377919327,10016,0.10115222788913993,0,0
can,baseline,5,"1,2,3,4,5",129152,75984,0.504,0.058103356185335804,5,0.4092141503474416,0.02830649850302893,5,0.40924553815600656,0.02823733200941332,5,0.04789851056026214,0.01782440232900147,5,0.14,0.03987480407475377,5,0.364,0.04985980344927165,5,0.14,0.03987480407475377,5,0.27999999999999997,0.09596874491208061,5,0.4800000000000001,0.06488451279003335,5,0.532,0.0565375981095766,5,0.528679462571977,0.04980043868422665,5,31049.6,8731.746363700677,5,26041.6,10670.683696933389,5,,,0,0.238,15024,0.0494368283772331,0,0
can,calql,3,"1,2,3",129152,75984,0.5133333333333333,0.09207484877955424,3,0.431315013687092,0.017900144857346464,3,0.4313379006308374,0.017868244665842067,3,0.02911928326822119,0.006988840278217342,3,0.2233333333333333,0.014529663145135577,3,0.29000000000000004,0.0907377172587747,3,0.2233333333333333,0.014529663145135577,3,0.3466666666666667,0.13678856352455462,3,0.5166666666666667,0.04666666666666671,3,0.51,0.05008326400438907,3,0.5149808061420345,0.042212785957581045,3,25040.0,7649.84636011295,3,28378.666666666668,14552.910606167796,3,,,0,0.34,35056,0.06244997998398398,0,0
can,calql_prefill,3,"1,2,3",129152,75984,0.5066666666666667,0.12115187896924166,3,0.6546451884607286,0.014541749871679915,3,0.6546157623901988,0.01464236815387267,3,0.005147080669333371,0.004942291375322565,3,0.35333333333333333,0.08987645841808509,3,0.15333333333333338,0.038441875315569335,3,0.35333333333333333,0.08987645841808509,3,0.6333333333333333,0.043333333333333314,3,0.8266666666666668,0.04176654695380554,3,0.765,0.015275252316519444,3,0.7702575175943699,0.014015193103124737,3,15024.0,5008.0,3,8346.666666666666,1669.3333333333333,3,70112.0,7649.84636011295,3,0.36000000000000004,5008,0.09539392014169457,1,1
can,calql_t12i,3,"1,2,3",129152,75984,0.5233333333333333,0.13593299002735787,3,0.6153253316487682,0.038052031046685766,3,0.6153825490081316,0.03802244973415307,3,0.0016301058781267197,0.0008847958289895688,3,0.4133333333333333,0.06333333333333334,3,0.11000000000000006,0.1965536398374076,3,0.4133333333333333,0.06333333333333334,3,0.5166666666666667,0.027284509239574855,3,0.5566666666666668,0.09207484877955424,3,0.6916666666666668,0.02455153310442705,3,0.678937939859245,0.018337821663306143,3,28378.666666666668,15924.42506898688,3,6677.333333333333,1669.3333333333333,3,32552.0,2504.0,2,0.45,5008,0.08185352771872453,2,2
can,cql,3,"1,2,3",129152,75984,0.52,0.11150485789118487,3,0.47686390117217664,0.022140062486595044,3,0.4769407359118931,0.022087508166101097,3,0.0196192727277832,0.008380860944428803,3,0.26,0.015275252316519465,3,0.25999999999999995,0.11789826122551596,3,0.26,0.015275252316519465,3,0.35333333333333333,0.08950481054731703,3,0.5133333333333333,0.06437735971942653,3,0.5750000000000001,0.04645786621588786,3,0.5777671145233526,0.04776542553489654,3,31717.333333333332,10154.158250577828,3,13354.666666666666,8346.666666666668,3,,,0,0.35333333333333333,10016,0.08950481054731703,0,0
can,fixalpha,3,"1,2,3",129152,75984,0.5533333333333333,0.10744507640857469,3,0.14774338457219063,0.03033856042399364,3,0.17448333161782167,0.02430549024277517,2,0.2596997879851549,0.031868223776355606,3,0.0033333333333333335,0.0033333333333333335,3,0.5499999999999999,0.10785793124908961,3,0.0033333333333333335,0.0033333333333333335,3,0.03333333333333333,0.024037008503093264,3,0.28,0.0971253485622231,3,0.295,0.08,2,0.2821329174664107,0.07460412667946258,2,75120.0,,1,,,0,,,0,0.016666666666666666,5008,0.012018504251546632,0,0
can,fixalpha_003,3,"1,2,3",129152,75984,0.5233333333333333,0.09243616415908032,3,0.23415245314803115,0.01953311546409199,3,0.2341230270775014,0.01958199674603185,3,0.17327957173137976,0.02025184347394282,3,0.0033333333333333335,0.0033333333333333335,3,0.52,0.09539392014169455,3,0.0033333333333333335,0.0033333333333333335,3,0.09666666666666668,0.0504424865014052,3,0.3633333333333333,0.05783117190965822,3,0.4066666666666667,0.07073031724640982,3,0.39449136276391555,0.05452315479616148,3,57592.0,17527.999999999996,2,105136.0,,1,,,0,0.0033333333333333335,5008,0.0033333333333333335,0,0
can,fixalpha_01,3,"1,2,3",129152,75984,0.51,0.11846237095944574,3,0.500819119814698,0.02572240599454961,3,0.5006916068424024,0.02584257413885296,3,0.03588748224673608,0.008424413664911047,3,0.053333333333333344,0.021858128414340004,3,0.4566666666666667,0.09905105305402419,3,0.053333333333333344,0.021858128414340004,3,0.13999999999999999,0.04725815626252605,3,0.63,0.060277137733417085,3,0.625,0.03617089069035115,3,0.604246641074856,0.02588509391237578,3,15024.0,0.0,3,25040.0,5782.740296203292,3,,,0,0.13999999999999999,10016,0.04725815626252605,0,0
can,fixalpha_03,5,"1,2,3,4,5",129152,75984,0.57,0.07968688725254613,5,0.6564691514002948,0.015870486585512857,5,0.6564358018536944,0.015874415206582632,5,0.004517403553529057,0.004211295595529487,5,0.36999999999999994,0.049295030175464945,5,0.2,0.058906705900092574,5,0.36999999999999994,0.049295030175464945,5,0.504,0.07004284403134983,5,0.79,0.0158113883008419,5,0.7390000000000001,0.02282542442102665,5,0.7418224568138196,0.019326828834765112,5,20032.0,4479.2913725275785,5,10016.0,2239.6456862637892,5,53836.0,10697.09268913755,4,0.46799999999999997,5008,0.082365041127896,1,1
can,fixalpha_1,3,"1,2,3",129152,75984,0.5433333333333333,0.11723670263379317,3,0.2689696076366954,0.008502420785691156,3,0.2688878685518907,0.008428805998650273,3,0.1630842818150606,0.01788574763162628,3,0.03,0.01,3,0.5133333333333333,0.12333333333333332,3,0.03,0.01,3,0.5833333333333334,0.024037008503093246,3,0.25666666666666665,0.08838049055708569,3,0.15166666666666662,0.024037008503093253,3,0.15526391554702493,0.026952038318814934,3,70112.0,,1,6677.333333333333,1669.3333333333333,3,5008.0,,1,0.03,20032,0.01,0,0
can,hardq,3,"1,2,3",129152,75984,0.5466666666666667,0.10105004260816079,3,0.2976026531901453,0.02545057420937573,3,,,0,0.12365479864180058,0.019472197612508804,3,0.06666666666666664,0.02603416558635551,3,0.48000000000000004,0.09291573243177567,3,0.07613588110403392,0.027872831088354574,3,0.14333333333333326,0.037118429085533505,3,0.31,0.015275252316519463,3,,,0,,,0,48565.333333333336,3649.8513820580574,3,2512.0,0.0,3,,,0,0.11025477707006369,35056,0.04228648621054317,0,0
can,iql,5,"1,2,3,4,5",129152,75984,0.568,0.03484250278036868,5,0.49386397136239213,0.01608436696185774,5,0.49386397136239213,0.016057966374159925,5,0.009173546115987603,0.0037363818694899765,5,0.244,0.049859803449271635,5,0.324,0.06801470429252779,5,0.244,0.049859803449271635,5,0.33799999999999997,0.08511169132381285,5,0.54,0.04358898943540674,5,0.5610000000000002,0.023947860029656112,5,0.5575134357005759,0.02595955117909526,5,27043.2,9710.87229037639,5,16025.6,4855.436145188194,5,,,0,0.33799999999999997,10016,0.08511169132381285,0,0
can,iql_linear,1,1,129152,75984,0.7,,1,0.6490576963571278,,1,0.6489890355258917,,1,5.849571903010444e-05,,1,0.39,,1,0.30999999999999994,,1,0.39,,1,0.47,,1,0.7700000000000001,,1,0.605,,1,0.6207725527831094,,1,40064.0,,1,5008.0,,1,20032.0,,1,0.39,35056,,0,0
can,iql_prefill,3,"1,2,3",129152,75984,0.55,0.13000000000000003,3,0.600702253105917,0.015264700728791453,3,0.6007316791764468,0.0152483074762979,3,0.02957759779313632,0.009147687507354896,3,0.1633333333333333,0.029627314724385324,3,0.3866666666666667,0.11289129481250737,3,0.1633333333333333,0.029627314724385324,3,0.20000000000000004,0.011547005383792518,3,0.8066666666666666,0.03756475889861549,3,0.8466666666666667,0.006009252125773322,3,0.8450063979526551,0.003827190156502778,3,18362.666666666668,1669.3333333333335,3,20032.0,7649.84636011295,3,35056.0,5008.0,3,0.20000000000000004,10016,0.011547005383792518,0,0
can,mix_fixed,3,"1,2,3",129152,75984,0.5266666666666667,0.10397649306988148,3,0.6671973046957255,0.01274448327300004,3,0.6672169220760787,0.012774716339981803,3,0.00780342019135593,0.003775553190429167,3,0.29333333333333333,0.09351173426070358,3,0.23333333333333336,0.18817840235029928,3,0.29333333333333333,0.09351173426070358,3,0.29333333333333333,0.09351173426070358,3,0.7133333333333333,0.11050389636167185,3,0.835,0.007637626158259716,3,0.8181206014075496,0.010684995045055016,3,18362.666666666668,1669.3333333333335,3,5008.0,0.0,3,33386.666666666664,14837.359213972157,3,0.29333333333333333,10016,0.09351173426070358,1,1
can,mix_linear,3,"1,2,3",129152,75984,0.48666666666666664,0.14146063449281965,3,0.6412244683091177,0.009195736959472458,3,0.641296398703746,0.009214759279049934,3,0.022258276087309087,0.002466640029361762,3,0.02,0.015275252316519468,3,0.4666666666666666,0.14495209936772602,3,0.02,0.015275252316519468,3,0.02,0.015275252316519468,3,0.7766666666666667,0.0581186525805423,3,0.7466666666666667,0.07339012952101331,3,0.7638227767114524,0.05736062190243849,3,18362.666666666668,1669.3333333333335,3,5008.0,0.0,3,45072.0,12603.190283945305,3,0.02,10016,0.015275252316519468,0,0
can,mix_prefill,3,"1,2,3",129152,75984,0.5233333333333333,0.1618984592610786,3,0.6817094826981118,0.019368992280640512,3,0.6816718827191016,0.01940567402954652,3,0.024531301725031915,0.0019317991334361854,3,0.08,0.005773502691896255,3,0.4433333333333333,0.16756424970075745,3,0.08,0.005773502691896255,3,0.09333333333333334,0.01855921454276674,3,0.84,0.015275252316519444,3,0.8583333333333334,0.049356976316536155,3,0.8489251439539348,0.042666387303372626,3,18362.666666666668,1669.3333333333335,3,5008.0,0.0,3,23370.666666666668,9294.454643017583,3,0.09333333333333334,10016,0.01855921454276674,0,0
can,rs_025,3,"1,2,3",129152,75984,0.5333333333333333,0.09837569708915804,3,0.31853688495823684,0.00914341055699225,3,,,0,0.10885172504201067,0.008367441231256198,3,0.03,0.025166114784235832,3,0.5033333333333333,0.07838650677536566,3,0.06549893842887473,0.027856670077799166,3,0.08,0.0404145188432738,3,0.37666666666666665,0.05547772325697746,3,,,0,,,0,26794.666666666668,6539.782395292506,3,2512.0,0.0,2,,,0,0.08084925690021232,10016,0.04012068715877881,0,0
can,rs_2,3,"1,2,3",129152,75984,0.5433333333333333,0.10137937550497036,3,0.4366333263143118,0.007598059896992523,3,,,0,0.03033673746650765,0.0024119113124577594,3,0.08,0.035118845842842465,3,0.4633333333333334,0.06960204339273704,3,0.12677282377919322,0.008269659506827941,3,0.2333333333333333,0.047022453265552946,3,0.5466666666666666,0.06333333333333337,3,,,0,,,0,12560.0,2900.60775240868,3,5861.333333333333,3349.333333333333,3,,,0,0.2326539278131635,10016,0.04700456174829782,0,0
can,td,3,"1,2,3",129152,75984,0.5666666666666668,0.11464922347946561,3,0.47314066119182985,0.033464632692595246,3,0.47307690470568214,0.033463335971668486,3,0.010826511541401919,0.005081993481220128,3,0.3233333333333333,0.013333333333333327,3,0.2433333333333334,0.11289129481250734,3,0.3233333333333333,0.013333333333333327,3,0.48,0.04582575694955844,3,0.5433333333333333,0.11289129481250733,3,0.5583333333333335,0.026193722742502878,3,0.5450511836212413,0.02704545192963151,3,41733.333333333336,3338.666666666667,3,20032.0,10424.983325326393,3,,,0,0.3933333333333333,40064,0.06437735971942657,0,0
can,tent12,3,"1,2,3",129152,75984,0.5166666666666666,0.10651030205780304,3,0.5668267003579701,0.023260469992078297,3,0.5666517787164879,0.0232222550197063,3,0.004562472913042164,0.002389333321560098,3,0.3166666666666667,0.052387445485005714,3,0.19999999999999996,0.15874507866387547,3,0.3166666666666667,0.052387445485005714,3,0.33,0.06350852961085884,3,0.6966666666666667,0.1072898462628739,3,0.695,0.03968626966596887,3,0.6656685860524633,0.03424812548663015,3,35056.0,20032.0,3,11685.333333333334,3338.6666666666665,3,75120.0,,1,0.33,10016,0.06350852961085884,0,0
can,tent12i,3,"1,2,3",129152,75984,0.5633333333333334,0.09386751893552484,3,0.5942089562714957,0.05212498911673222,3,0.5941844345460544,0.0521590008877275,3,0.006588665718277231,0.0061942322935513005,3,0.3233333333333333,0.1416960753788819,3,0.24000000000000002,0.2318045153428495,3,0.3233333333333333,0.1416960753788819,3,0.45999999999999996,0.0642910050732864,3,0.68,0.023094010767585053,3,0.6966666666666668,0.058333333333333334,3,0.6897488803582853,0.06241932890375075,3,13354.666666666666,1669.3333333333333,3,11685.333333333334,6677.333333333333,3,20032.0,,1,0.45999999999999996,10016,0.0642910050732864,1,1
