task,method,seed,critic_steps,distill_steps,averaging_first_step,averaging_last_step,source_file,source_sha256,q_mean,q_ood_mean,return_mean,floored_frac,penalty,critic_loss,q_data_minus_G,q_ood_minus_G,q_ood_minus_data,distill_loss_last10
can,calql,1,50000,25000,45500,50000,calql_can_s1_log.csv,9a9fc26511e920dcbd1bd0979451f837fafa024958088a6931ec5e0eb7532bdf,-87.77822875976562,-159.75675201416016,-100.62329788208008,0.97451171875,0.746359583735466,10.310804176330567,12.845069122314456,-59.133454132080075,-71.97852325439453,131.32422332763673
can,calql,2,50000,25000,45500,50000,calql_can_s2_log.csv,cf71bcefc4a8d4f6eb08629dbd8e7fe34fef16f8570a1ca2494737dbf3c8a081,-86.84290008544922,-156.80944061279297,-98.81025466918945,0.976171875,0.9193181306123733,5.33294780254364,11.967354583740232,-57.99918594360352,-69.96654052734375,157.3668655395508
can,calql,3,50000,25000,45500,50000,calql_can_s3_log.csv,43c2c305d957538eba998146956f819e747043f960242ebc784c53101db1a99c,-91.4792465209961,-161.5133285522461,-104.39074020385742,0.970703125,0.7656186342239379,6.495437026023865,12.91149368286132,-57.122588348388675,-70.03408203125,147.40933151245116
square,calql,1,50000,25000,45500,50000,calql_square_s1_log.csv,4bccc7e8ca3099209b50687449ad07c8a2867de1ce0cd251cff05b14089ecd52,-115.84319839477538,-129.33606643676757,-152.3138442993164,0.192724609375,21.731250190734862,63.44105892181396,36.470645904541016,22.977777862548834,-13.492868041992182,176.60341567993163
square,calql,2,50000,25000,45500,50000,calql_square_s2_log.csv,ce1efd7a2130b428a4810041f103c8d7dc020dae74d92a257b5ba6d474a1b842,-117.15305557250977,-130.82035217285156,-155.09386596679687,0.196240234375,17.58433094024658,63.845923233032224,37.9408103942871,24.273513793945312,-13.667296600341786,173.31593017578126
square,calql,3,50000,25000,45500,50000,calql_square_s3_log.csv,f5e71bffff68b98cb59d9e24422846fd1ef7a978300de41348b7ecde3c6c6ad8,-115.91991119384765,-130.04567031860353,-152.1873306274414,0.1998046875,18.58109540939331,57.61144485473633,36.26741943359376,22.141660308837885,-14.125759124755874,169.2438003540039
can,cql,1,50000,25000,45500,50000,cql_can_s1_log.csv,c0b692ffbf3d0e2922db8661290bcbd9db1c1a746c5c1fcff64a168d4f3effb8,-96.40319137573242,-171.29723205566407,-100.62329788208008,0.0,0.2886776465922594,12.824296855926514,4.220106506347662,-70.67393417358399,-74.89404067993165,119.21884307861328
can,cql,2,50000,25000,45500,50000,cql_can_s2_log.csv,557405bf18a18f69bc84238651a59206ba759a6b25d3a72312bb32599a065df9,-95.08308792114258,-168.16211700439453,-98.81025466918945,0.0,0.20865222206339235,11.909548830986022,3.7271667480468693,-69.35186233520508,-73.07902908325195,132.51056289672852
can,cql,3,50000,25000,45500,50000,cql_can_s3_log.csv,1524db3c88bf783377413200efbe1dc523cf0e17579d3a4710f4d20837ef9b61,-99.56461105346679,-173.88300170898438,-104.39074020385742,0.0,0.12348506264388562,8.457286024093628,4.826129150390628,-69.49226150512696,-74.31839065551759,142.226163482666
square,cql,1,50000,25000,45500,50000,cql_square_s1_log.csv,ecefacd22751a0792724efaa66ea8e7ebd60a16b3bc147dadd06515a0f493730,-137.07770385742188,-150.00543670654298,-152.3138442993164,0.0,24.594537830352785,71.0369701385498,15.23614044189452,2.3084075927734204,-12.9277328491211,151.6888069152832
