run,task,group,seed,n_evals,first_success,early_until_online,early_tail_held_steps,auc_early,auc_early_boundary_linear,mean_deficit_pi_dp,min_observed,min_observed_online,dip_from_start,min_grid,no_dip_observed,no_dip_grid,recovery_pi_dp,at10k,at10k_actual_env,pre100k_success,pre100k_actual_env,endpoint,endpoint_actual_env,endpoint_target_env,at125k_interpolated,final_last3_unmatched,last_eval_env,last_train_env,t50_post_update,t80_post_update
can_alr_double_s1,can,alr_double,1,33,0.73,75984,624.0,0.48701410823331226,0.48687640911328306,0.020977887767395554,0.1999999999999999,7536,0.53,0.3100636942675159,False,False,12560.0,0.39,34064,0.69,99376,,,129152,0.5457581573896354,0.5966666666666667,126896,148816,12560.0,
can_alr_double_s2,can,alr_double,2,33,0.54,75984,624.0,0.5631438197515267,0.563230519197471,0.0059949705166952375,0.2,7536,0.34,0.4019745222929935,False,False,10048.0,0.52,34064,0.5,99376,,,129152,0.5850000000000001,0.5566666666666666,126896,148816,2512.0,
can_alr_double_s3,can,alr_double,3,33,0.25,75984,624.0,0.3516508738681827,0.35160497416150627,0.07441430423353618,0.03,7536,0.22,0.0694904458598725,False,False,25120.0,0.0699999999999999,34064,0.39,99376,,,129152,0.5159740882917467,0.4216666666666667,126896,148816,2512.0,
can_alr_half_s1,can,alr_half,1,33,0.76,75984,624.0,0.383802905874921,0.38390490522309084,0.053301920218574037,0.16,10048,0.6,0.1654777070063695,False,False,20096.0,0.16,34064,0.36,99376,,,129152,0.31675143953934737,0.37499999999999994,126896,148816,5024.0,
can_alr_half_s2,can,alr_half,2,33,0.4599999999999999,75984,624.0,0.42694461991998317,0.42702111943111054,0.03116014797273467,0.18,17584,0.2799999999999999,0.2515286624203822,False,False,20096.0,0.48,34064,0.38,99376,,,129152,0.41803262955854126,0.4166666666666667,126896,148816,2512.0,
can_alr_half_s3,can,alr_half,3,33,0.37,75984,624.0,0.3642177300484313,0.36448292835367285,0.06930558636813357,0.09,32656,0.28,0.1861146496815287,False,False,35168.0,0.18,34064,0.31,99376,,,129152,0.44985604606525914,0.44,126896,148816,2512.0,
can_baseline_s1,can,baseline,1,24,0.66,75984,864.0,0.43231838281743523,0.432416469719201,0.026546576052298338,0.25,25040,0.41000000000000003,0.25,False,False,30048.0,0.26,34032,0.46,99136,0.52,129152.0,129152,0.526641074856046,0.7183333333333333,279200,299872,40064.0,
can_baseline_s2,can,baseline,2,24,0.5,75984,864.0,0.4882175194777848,0.48803605870951816,0.010783397684181014,0.2,15024,0.3,0.2,False,False,20032.0,0.52,34032,0.7100000000000001,99136,0.53,129152.0,129152,0.5291698656429943,0.8033333333333333,279200,299440,5008.0,
can_baseline_s3,can,baseline,3,24,0.3399999999999999,75984,864.0,0.37536323436512953,0.3755839298941025,0.050708920929836254,0.13,10016,0.2099999999999999,0.13,False,False,20032.0,0.13,34032,0.32,99136,0.37,129152.0,129152,0.39905470249520153,0.6566666666666666,279200,299440,60096.0,
can_baseline_s4,can,baseline,4,18,0.42,75984,864.0,0.42881869867340494,0.4286519509404031,0.037229941996203386,0.02,10016,0.39999999999999997,0.02,False,False,20032.0,0.02,34032,0.5,99136,0.515,129152.0,129152,0.48428502879078694,0.4483333333333334,129152,148816,20032.0,
can_baseline_s5,can,baseline,5,18,0.6,75984,864.0,0.32135291640345337,0.3215392815168083,0.11422371613879173,0.1,35056,0.5,0.1,False,False,65104.0,0.47,34032,0.41,99136,0.725,129152.0,129152,0.704246641074856,0.5783333333333333,129152,148816,5008.0,
can_calql_prefill_s1,can,calql_prefill,1,18,0.67,75984,864.0,0.6753190145293746,0.6753876753606106,0.0,0.5,20032,0.17000000000000004,0.5,True,True,25040.0,0.71,34032,0.7900000000000001,99136,0.7350000000000001,129152.0,129152,0.7557533589251441,0.7950000000000003,129152,148816,5008.0,80128.0
can_calql_prefill_s2,can,calql_prefill,2,18,0.5800000000000001,75984,864.0,0.6620235839124026,0.6621069577789035,0.00041244732288830315,0.37,5008,0.21000000000000008,0.37,False,False,10016.0,0.56,34032,0.78,99136,0.785,129152.0,129152,0.7982821497120922,0.81,129152,148816,10016.0,55088.0
can_calql_prefill_s3,can,calql_prefill,3,18,0.27,75984,864.0,0.6265929669404086,0.6263526540310824,0.015028794685111809,0.19,5008,0.08000000000000002,0.19,False,False,10016.0,0.63,34032,0.91,99136,0.775,129152.0,129152,0.7567370441458734,0.7833333333333333,129152,148816,10016.0,75120.0
can_calql_s1,can,calql,1,18,0.6900000000000001,75984,864.0,0.39618235417982733,0.3962853454266814,0.04287608918153941,0.22,10016,0.4700000000000001,0.22,False,False,20032.0,0.22,34032,0.47,99136,0.53,129152.0,129152,0.5374712092130518,0.525,129152,148816,25040.0,
can_calql_s2,can,calql,2,18,0.47,75984,864.0,0.4548410191619288,0.45489006261281173,0.020097428982334183,0.25,30048,0.21999999999999997,0.25,False,False,40064.0,0.6200000000000001,34032,0.47,99136,0.585,129152.0,129152,0.5742082533589251,0.525,129152,148816,5008.0,
can_calql_s3,can,calql,3,18,0.38,75984,864.0,0.44292166771951996,0.44283829385301904,0.024384331640789982,0.2,10016,0.18,0.2,False,False,15024.0,0.2,34032,0.6100000000000001,99136,0.415,129152.0,129152,0.43326295585412666,0.5166666666666667,129152,148816,55088.0,
can_calql_t12i_s1,can,calql_t12i,1,18,0.75,75984,864.0,0.5602600547483682,0.5604071851010168,0.0030415287498363783,0.29,5008,0.46,0.29,False,False,10016.0,0.5700000000000001,34032,0.38,99136,0.735,129152.0,129152,0.700964491362764,0.5483333333333333,129152,148816,10016.0,
can_calql_t12i_s2,can,calql_t12i,2,18,0.54,75984,864.0,0.5973636555064225,0.5973685598515107,0.0,0.4499999999999999,55088,0.09000000000000014,0.4499999999999999,True,True,60096.0,0.48,34032,0.6000000000000001,99136,0.65,129152.0,129152,0.6425287907869482,0.6183333333333333,129152,148816,5008.0,35056.0
can_calql_t12i_s3,can,calql_t12i,3,18,0.28,75984,864.0,0.6883522846915139,0.688371902071867,0.0018487888845437808,0.5,10016,-0.21999999999999997,0.5,True,True,15024.0,0.5,34032,0.6900000000000001,99136,0.69,129152.0,129152,0.693320537428023,0.6966666666666667,129152,148816,5008.0,30048.0
can_cql_s1,can,cql,1,18,0.73,75984,864.0,0.48449989471467675,0.48472549458873804,0.021473586311776677,0.24,10016,0.49,0.24,False,False,15024.0,0.24,34032,0.47,99136,0.665,129152.0,129152,0.6708109404990403,0.6116666666666667,129152,148816,5008.0,
can_cql_s2,can,cql,2,18,0.48,75984,864.0,0.5108191198146979,0.5107063198776672,0.004265140114127954,0.29,45072,0.19,0.29,False,False,50080.0,0.53,34032,0.6399999999999999,99136,0.51,129152.0,129152,0.5124904030710173,0.5583333333333333,129152,148816,5008.0,
can_cql_s3,can,cql,3,18,0.35,75984,864.0,0.4352726889871552,0.43539039326927415,0.03311909175744496,0.25,15024,0.09999999999999998,0.25,False,False,30048.0,0.29,34032,0.43,99136,0.55,129152.0,129152,0.55,0.51,129152,148816,30048.0,
can_fixalpha_003_s1,can,fixalpha_003,1,18,0.6799999999999999,75984,864.0,0.1967277321541377,0.1966345495974602,0.21226167683048516,0.0,5008,0.6799999999999999,0.0,False,False,,0.12,34032,0.26,99136,0.405,129152.0,129152,0.36515355086372364,0.27666666666666667,129152,148816,,
can_fixalpha_003_s2,can,fixalpha_003,2,18,0.53,75984,864.0,0.262568961886713,0.2626817618237436,0.14426443897369323,0.0,5008,0.53,0.0,False,False,40064.0,0.0,34032,0.37,99136,0.285,129152.0,129152,0.3182053742802303,0.37999999999999995,129152,148816,,
can_fixalpha_003_s3,can,fixalpha_003,3,18,0.36,75984,864.0,0.24316066540324274,0.24305276981130042,0.1633125993899609,0.01,5008,0.35,0.01,False,False,75120.0,0.17,34032,0.4599999999999999,99136,0.53,129152.0,129152,0.5001151631477927,0.4466666666666666,129152,148816,105136.0,
can_fixalpha_01_s1,can,fixalpha_01,1,18,0.72,75984,864.0,0.5165466413981891,0.516561354433454,0.031049472546792287,0.08,5008,0.64,0.08,False,False,15024.0,0.12,34032,0.6799999999999999,99136,0.6200000000000001,129152.0,129152,0.6324520153550864,0.665,129152,148816,15024.0,
can_fixalpha_01_s2,can,fixalpha_01,2,18,0.5,75984,864.0,0.5353748157506844,0.5353551983703312,0.024329452954943234,0.07,10016,0.43,0.07,False,False,15024.0,0.07,34032,0.51,99136,0.5650000000000001,129152.0,129152,0.5525479846449137,0.5216666666666666,129152,148816,25040.0,
can_fixalpha_01_s3,can,fixalpha_01,3,18,0.31,75984,864.0,0.4505359022952201,0.4501582677234219,0.05228352123847271,0.01,5008,0.3,0.01,False,False,15024.0,0.2299999999999999,34032,0.7000000000000001,99136,0.69,129152.0,129152,0.6277399232245682,0.5683333333333334,129152,148816,35056.0,
