task,group,auc_delta,min_delta,endpoint_delta
can,alr_double,0.0,5.551115123125783e-17,
can,alr_half,0.0,5.551115123125783e-17,
can,baseline,0.0,0.0,0.0
can,calql,0.0,0.0,0.0
can,calql_prefill,0.0,5.551115123125783e-17,0.0
can,calql_t12i,0.0,0.0,0.0
can,cql,5.551115123125783e-17,5.551115123125783e-17,0.0
can,fixalpha,2.7755575615628914e-17,6.591949208711867e-17,0.0
can,fixalpha_003,5.551115123125783e-17,3.3393426912553537e-17,0.0
can,fixalpha_01,0.0,8.326672684688674e-17,0.0
can,fixalpha_03,0.0,5.551115123125783e-17,0.0
can,fixalpha_1,0.0,0.0,2.7755575615628914e-17
can,hardq,0.0,-1.3877787807814457e-17,
can,iql,5.551115123125783e-17,5.551115123125783e-17,0.0
can,iql_linear,0.0,0.0,0.0
can,iql_prefill,0.0,2.7755575615628914e-17,0.0
can,mix_fixed,0.0,5.551115123125783e-17,0.0
can,mix_linear,0.0,0.0,0.0
can,mix_prefill,0.0,4.163336342344337e-17,0.0
can,rs_025,5.551115123125783e-17,1.3877787807814457e-17,
can,rs_2,0.0,8.326672684688674e-17,
square,baseline,0.0,8.326672684688674e-17,5.551115123125783e-17
square,calql,5.551115123125783e-17,5.551115123125783e-17,0.0
square,cql,0.0,0.0,5.551115123125783e-17
square,fixalpha_03,5.551115123125783e-17,0.0,0.0
square,iql,0.0,5.551115123125783e-17,0.0
square,mix_prefill,0.0,0.0,0.0
square,td,0.0,5.551115123125783e-17,0.0
square,tent12,5.551115123125783e-17,5.551115123125783e-17,0.0
square,tent12_hq,0.0,0.0,5.551115123125783e-17
square,tent6,5.551115123125783e-17,2.7755575615628914e-17,0.0
can,td,5.551115123125783e-17,0.0,0.0
can,tent12,0.0,0.0,0.0
can,tent12i,0.0,5.551115123125783e-17,0.0
can,tent6,0.0,0.0,
can,warmup,0.0,5.551115123125783e-17,0.0
can,warmupc,0.0,0.0,0.0
