step0,n_evals,last_online_steps,last_env_steps,min_in_window,min_at,dip_depth,recovery_at,recovery_pi_dp_at,auc_early,final,t50,t80,mc_return_first,q_start_first,group,seed,run,until_online,step0_se,step0_n,min_in_window_se,min_in_window_n,min_at_se,min_at_n,dip_depth_se,dip_depth_n,recovery_at_se,recovery_at_n,recovery_pi_dp_at_se,recovery_pi_dp_at_n,auc_early_se,auc_early_n,at_env129k,at_env129k_se,at_env129k_n,final_se,final_n,mc_return_first_se,mc_return_first_n,q_start_first_se,q_start_first_n,t50_se,t50_n,t80_se,t80_n,min_mean_curve,min_mean_curve_at,regret_vs_pi_dp
0.73,33.0,102880.0,126896.0,0.1999999999999999,7536.0,0.53,,12560.0,0.48701410823331226,0.5966666666666667,0.0,,-181.058939488346,-0.3010683879256248,alr_double,1,can_alr_double_s1,75984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54,33.0,102880.0,126896.0,0.2,7536.0,0.34,20096.0,10048.0,0.5631438197515267,0.5566666666666666,0.0,,-178.00015299386013,-0.0042998410062864,alr_double,2,can_alr_double_s2,75984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,33.0,102880.0,126896.0,0.03,7536.0,0.22,15072.0,25120.0,0.3516508738681827,0.4216666666666667,2512.0,,-196.6459380000735,-0.2071060724556446,alr_double,3,can_alr_double_s3,75984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5066666666666667,,,,0.1433333333333333,7536.0,0.36333333333333334,17584.0,15909.333333333334,0.4672696006176739,0.525,837.3333333333334,,-185.23501016075988,-0.17082476712918526,alr_double,mean,n=3,75984,0.13956280943638882,3.0,0.05666666666666665,3.0,0.0,3.0,0.09024657580453922,3.0,2512.0,2.0,4662.074693143006,3.0,0.06184577788160313,3.0,,,0.0,0.052941267247561964,3.0,5.773387201064015,3.0,0.0875692915111565,3.0,837.3333333333333,3.0,,0.0,0.2817834394904458,5008.0,-0.06193626728434054
0.76,33.0,102880.0,126896.0,0.16,10048.0,0.6,,20096.0,0.383802905874921,0.37499999999999994,0.0,,-177.24692296900653,-0.2905504107475281,alr_half,1,can_alr_half_s1,75984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4599999999999999,33.0,102880.0,126896.0,0.18,17584.0,0.2799999999999999,20096.0,20096.0,0.42694461991998317,0.4166666666666667,2512.0,,-183.14346239041384,-0.0097850689198821,alr_half,2,can_alr_half_s2,75984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37,33.0,102880.0,126896.0,0.09,32656.0,0.28,35168.0,35168.0,0.3642177300484313,0.44,2512.0,,-191.14048920906288,-0.2008939944207668,alr_half,3,can_alr_half_s3,75984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5299999999999999,,,,0.1433333333333333,20096.0,0.38666666666666666,27632.0,25120.0,0.3916550852811118,0.41055555555555556,1674.6666666666667,,-183.8436248561611,-0.16707649136272565,alr_half,mean,n=3,75984,0.11789826122551599,3.0,0.027284509239574834,3.0,6646.127293394252,3.0,0.10666666666666667,3.0,7536.0,2.0,5024.000000000001,3.0,0.018528430580324436,3.0,,,0.0,0.019011042924742993,3.0,4.0259767479680955,3.0,0.0827949513913926,3.0,837.3333333333333,3.0,,0.0,0.27677282377919327,10016.0,0.013678248052221564
0.66,24.0,255184.0,279200.0,0.25,25040.0,0.41000000000000003,155152.0,30048.0,0.43231838281743523,0.7183333333333333,0.0,,,,baseline,1,can_baseline_s1,75984,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,
0.5,24.0,255184.0,279200.0,0.2,15024.0,0.3,25040.0,20032.0,0.4882175194777848,0.8033333333333333,0.0,180160.0,,,baseline,2,can_baseline_s2,75984,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,
0.3399999999999999,24.0,255184.0,279200.0,0.13,10016.0,0.2099999999999999,20032.0,20032.0,0.37536323436512953,0.6566666666666666,60096.0,,,,baseline,3,can_baseline_s3,75984,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,
0.42,18.0,105136.0,129152.0,0.02,10016.0,0.39999999999999997,20032.0,20032.0,0.42881869867340494,0.4483333333333334,20032.0,,-193.55758480822095,-0.2064763344824314,baseline,4,can_baseline_s4,75984,,,,,,,,,,,,,,,0.515,,,,,,,,,,,,,,,
0.6,18.0,105136.0,129152.0,0.1,35056.0,0.5,80128.0,65104.0,0.32135291640345337,0.5783333333333333,0.0,,-185.0120685013027,-0.1857260204851627,baseline,5,can_baseline_s5,75984,,,,,,,,,,,,,,,0.725,,,,,,,,,,,,,,,
0.504,,,,0.14,19030.4,0.364,60076.8,31049.6,0.4092141503474416,0.6409999999999999,16025.6,180160.0,-189.28482665476184,-0.19610117748379707,baseline,mean,n=5,75984,0.058103356185335804,5.0,0.03987480407475377,5.0,4855.436145188194,5.0,0.04985980344927165,5.0,26340.17240338415,5.0,8731.746363700677,5.0,0.02830649850302893,5.0,0.532,0.0565375981095766,5.0,0.060673534409804865,5.0,4.272758153459122,2.0,0.01037515699863435,2.0,11680.562835754106,5.0,,1.0,0.238,15024.0,-0.0038808170141081955
0.6900000000000001,18.0,105136.0,129152.0,0.22,10016.0,0.4700000000000001,,20032.0,0.39618235417982733,0.525,0.0,,-179.32468996030516,-269.9735641479492,calql,1,can_calql_s1,75984,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,
0.47,18.0,105136.0,129152.0,0.25,30048.0,0.21999999999999997,40064.0,40064.0,0.4548410191619288,0.525,5008.0,,-181.1516179071458,-288.9561309814453,calql,2,can_calql_s2,75984,,,,,,,,,,,,,,,0.585,,,,,,,,,,,,,,,
0.38,18.0,105136.0,129152.0,0.2,10016.0,0.18,15024.0,15024.0,0.44292166771951996,0.5166666666666667,55088.0,,-191.31471704312497,-282.7860794067383,calql,3,can_calql_s3,75984,,,,,,,,,,,,,,,0.415,,,,,,,,,,,,,,,
0.5133333333333333,,,,0.2233333333333333,16693.333333333332,0.29000000000000004,27544.0,25040.0,0.431315013687092,0.5222222222222223,20032.0,,-183.93034163685866,-280.5719248453776,calql,mean,n=3,75984,0.09207484877955424,3.0,0.014529663145135577,3.0,6677.333333333333,3.0,0.0907377172587747,3.0,12519.999999999998,2.0,7649.84636011295,3.0,0.017900144857346464,3.0,0.51,0.05008326400438907,3.0,0.0027777777777777683,3.0,3.729663368913253,3.0,5.59050746692499,3.0,17587.517998095507,3.0,,0.0,0.34,35056.0,-0.02598168035375864
0.67,18.0,105136.0,129152.0,0.5,20032.0,0.17000000000000004,25040.0,25040.0,0.6753190145293746,0.7950000000000003,0.0,80128.0,-180.37980420677204,-274.0618362426758,calql_prefill,1,can_calql_prefill_s1,75984,,,,,,,,,,,,,,,0.7350000000000001,,,,,,,,,,,,,,,
0.5800000000000001,18.0,105136.0,129152.0,0.37,5008.0,0.21000000000000008,15024.0,10016.0,0.6620235839124026,0.81,0.0,55088.0,-176.2042936130262,-292.6771697998047,calql_prefill,2,can_calql_prefill_s2,75984,,,,,,,,,,,,,,,0.785,,,,,,,,,,,,,,,
0.27,18.0,105136.0,129152.0,0.19,5008.0,0.08000000000000002,10016.0,10016.0,0.6265929669404086,0.7833333333333333,10016.0,75120.0,-195.77453432629864,-285.81592559814453,calql_prefill,3,can_calql_prefill_s3,75984,,,,,,,,,,,,,,,0.775,,,,,,,,,,,,,,,
0.5066666666666667,,,,0.35333333333333333,10016.0,0.15333333333333338,16693.333333333332,15024.0,0.6546451884607286,0.7961111111111112,3338.6666666666665,70112.0,-184.11954404869894,-284.1849772135417,calql_prefill,mean,n=3,75984,0.12115187896924166,3.0,0.08987645841808509,3.0,5008.0,3.0,0.038441875315569335,3.0,4416.64085527049,3.0,5008.0,3.0,0.014541749871679915,3.0,0.765,0.015275252316519444,3.0,0.007718024438583238,3.0,5.9508492659403425,3.0,5.435306042770159,3.0,3338.666666666667,3.0,7649.84636011295,3.0,0.36000000000000004,5008.0,-0.24931185512739523
