group,n,t50,t80,auc_early,final,at_env129k
alr_double,3,837 (3/3),never (0/3),0.467+-0.062,0.525+-0.053,-
alr_half,3,1675 (3/3),never (0/3),0.392+-0.019,0.411+-0.019,-
baseline,5,16026 (5/5),180160 (1/5),0.409+-0.028,0.641+-0.061,0.532
calql,3,20032 (3/3),never (0/3),0.431+-0.018,0.522+-0.003,0.510
calql_prefill,3,3339 (3/3),70112 (3/3),0.655+-0.015,0.796+-0.008,0.765
calql_t12i,3,1669 (3/3),32552 (2/3),0.615+-0.038,0.621+-0.043,0.692
cql,3,11685 (3/3),never (0/3),0.477+-0.022,0.560+-0.029,0.575
fixalpha,3,0 (2/3),never (0/3),0.148+-0.030,0.231+-0.072,0.295
fixalpha_003,3,35045 (3/3),never (0/3),0.234+-0.020,0.368+-0.049,0.407
fixalpha_01,3,11685 (3/3),never (0/3),0.501+-0.026,0.585+-0.042,0.625
fixalpha_03,5,3005 (5/5),53836 (4/5),0.656+-0.016,0.762+-0.016,0.739
fixalpha_1,3,1669 (3/3),5008 (1/3),0.269+-0.009,0.194+-0.050,0.152
hardq,3,837 (3/3),never (0/3),0.298+-0.025,0.358+-0.025,-
iql,5,1002 (5/5),never (0/5),0.494+-0.016,0.647+-0.048,0.561
iql_linear,1,0 (1/1),20032 (1/1),0.649+-0.000,0.725+-0.000,0.605
iql_prefill,3,10016 (3/3),35056 (3/3),0.601+-0.015,0.849+-0.013,0.847
mix_fixed,3,1669 (3/3),33387 (3/3),0.667+-0.013,0.851+-0.018,0.835
mix_linear,3,3339 (3/3),45072 (3/3),0.641+-0.009,0.805+-0.009,0.747
mix_prefill,3,3339 (3/3),13355 (3/3),0.682+-0.019,0.885+-0.021,0.858
prefill_t12i,3,6677 (3/3),20032 (3/3),0.776+-0.007,0.867+-0.030,0.870
rs_025,3,837 (3/3),never (0/3),0.319+-0.009,0.336+-0.018,-
rs_2,3,837 (3/3),never (0/3),0.437+-0.008,0.526+-0.057,-
square_baseline,5,16026 (5/5),never (0/5),0.401+-0.007,0.434+-0.042,-
square_calql,3,11685 (3/3),never (0/3),0.457+-0.028,0.472+-0.026,-
square_cql,3,18363 (3/3),never (0/3),0.465+-0.011,0.376+-0.074,-
square_fixalpha_03,5,19030 (5/5),never (0/5),0.414+-0.018,0.388+-0.035,-
square_iql,3,6677 (3/3),never (0/3),0.437+-0.005,0.491+-0.017,-
square_mix_prefill,3,11685 (3/3),never (0/3),0.432+-0.024,0.605+-0.018,-
square_td,3,3339 (3/3),never (0/3),0.492+-0.020,0.406+-0.058,-
square_tent12,5,12019 (5/5),never (0/5),0.404+-0.022,0.354+-0.018,-
square_tent12_hq,3,0 (3/3),never (0/3),0.378+-0.014,0.444+-0.043,-
square_tent6,3,15024 (3/3),never (0/3),0.378+-0.010,0.278+-0.028,-
td,3,13355 (3/3),never (0/3),0.473+-0.033,0.527+-0.054,0.558
tent12,3,10016 (3/3),75120 (1/3),0.567+-0.023,0.637+-0.056,0.695
tent12i,3,1669 (3/3),20032 (1/3),0.594+-0.052,0.677+-0.055,0.697
tent12i_hq,3,8347 (3/3),never (0/3),0.391+-0.019,0.474+-0.040,0.460
tent6,3,8347 (3/3),never (0/3),0.506+-0.052,0.596+-0.044,-
warmup,3,8347 (3/3),196832 (3/3),0.481+-0.005,0.799+-0.031,0.542
warmupc,3,3339 (3/3),never (0/3),0.506+-0.023,0.581+-0.035,0.608
