"task","group","bin","alpha","critic_alpha","qw","H","mu"
"square","tent12","0","0.403348990877469","-","143.142102050781","15.1504441579183","0.315029901266098"
"square","tent12","5000","0.391274608472983","-","184.602109781901","11.2065731684367","0.489368234078089"
"square","tent12","10000","0.615618901948134","-","307.813483683268","11.4201485315959","0.483851160605748"
"square","tent12","15000","0.94450987637043","-","560.442254638672","11.4856030146281","0.472237088282903"
"square","tent12","20000","1.33034192204475","-","956.022302246094","11.4610269546509","0.472030840317408"
"square","tent12","30000","2.30019244074821","-","2143.96808268229","11.6595794041951","0.449828197558721"
"square","tent12","40000","4.06706893861294","-","4294.95614013672","11.8317385196686","0.434122218191624"
"square","tent12","50000","6.432661430041","-","7536.6740234375","11.775745455424","0.422780213753382"
"square","tent12","70000","10.415729376475","-","15279.6444010417","11.8323689778646","0.377588929732641"
"square","tent12","90000","15.3790200614929","-","22998.012109375","11.9257033665975","0.362513345479965"
"square","tent12","110000","20.0966480191549","-","29595.90859375","11.6452494939168","0.373360222578049"
"square","tent12_hq","0","0.368862727036079","-","-63.386109246148","15.6984372668796","0.275309617320697"
"square","tent12_hq","5000","0.266495549347666","-","-104.919098748101","10.8204639222887","0.495129462745455"
"square","tent12_hq","10000","0.330406443940269","-","-114.807959662543","11.340869585673","0.47814189725452"
"square","tent12_hq","15000","0.290875313679377","-","-101.083802964952","11.780004395379","0.461950404776467"
"square","tent12_hq","20000","0.256775254921781","-","-94.3903189765082","11.690832455953","0.470043149259355"
"square","tent12_hq","30000","0.221316343131993","-","-87.6097242567274","11.9005931218465","0.46030972732438"
"square","tent12_hq","40000","0.206499771587551","-","-79.7063541412354","11.7524753411611","0.4659264087677"
"square","tent12_hq","50000","0.205588689529234","-","-75.061036851671","12.210348976983","0.452440364493264"
"square","tent12_hq","70000","0.196903208560414","-","-77.3732248942057","11.843949953715","0.454547117153804"
"square","tent12_hq","90000","0.177909231185913","-","-75.9278013441298","12.0838819079929","0.447597271866269"
"square","tent12_hq","110000","0.177296202215883","-","-75.0657475789388","11.8864008585612","0.441927111811108"
"square","tent12i","0","0.145451025085317","0.15","3.59879721535577","12.557637002733","0.444093104865816"
"square","tent12i","5000","0.234023289796379","0.23","2.2265053457684","11.3438426123725","0.485797501272625"
"square","tent12i","10000","0.451245384746128","0.45","97.8192626105414","11.0710622999403","0.494070606099235"
"square","tent12i","15000","0.690147244930267","0.69","296.923197428385","11.6122755474514","0.471436560153961"
"square","tent12i","20000","1.04628401630455","1.05","603.698727077908","11.6179108089871","0.474140932162603"
"square","tent12i","30000","2.05451936589347","2.05","1731.84187825521","11.6975429322984","0.452210651503669"
"square","tent12i","40000","3.78256629407406","3.78","3848.78304036458","12.1958285967509","0.416297773520152"
"square","tent12i","50000","6.05357557137807","6.05","7109.39116753472","11.7635380427043","0.410254796346029"
"square","tent12i","70000","9.63724673589071","9.64","14976.2668185764","11.522501733568","0.375297298034032"
"square","tent12i","90000","13.7039840539296","13.70","22828.2619357639","11.996557129754","0.351732694440418"
"square","tent12i","110000","18.1627467685276","18.16","29533.2013888889","12.160800298055","0.35009777545929"
"square","tent12i_cap03","0","0.149217922613025","0.15","6.73366346624163","12.8340852525499","0.429537643988927"
"square","tent12i_cap03","5000","0.235753535810444","0.23","13.4098123841816","10.9211778640747","0.491503202252918"
"square","tent12i_cap03","10000","0.402277514835199","0.30","85.4038111368815","11.2860051261054","0.486938536167145"
"square","tent12i_cap03","15000","0.503264131645362","0.30","172.627900865343","11.6942973666721","0.468380262454351"
"square","tent12i_cap03","20000","0.599898326065805","0.30","264.598320855035","11.6029843224419","0.472360362609227"
"square","tent12i_cap03","30000","0.806801044278675","0.30","450.328942192925","11.6151378419664","0.467822617954678"
"square","tent12i_cap03","40000","1.0022831675907","0.30","663.846288045247","11.9765967528025","0.455998942255974"
"square","tent12i_cap03","50000","1.13462077776591","0.30","856.967074924045","11.8241192499797","0.46234083837933"
"square","tent12i_cap03","70000","1.35708022912343","0.30","1117.24538845486","11.674437628852","0.463406347566181"
"square","tent12i_cap03","90000","1.56339288751284","0.30","1315.87046983507","11.9156762229072","0.451140883896086"
"square","tent12i_cap03","110000","1.70675386786461","0.30","1460.82542588976","12.0102070702447","0.452666037612491"
"square","tent12i_cap1","0","0.145251177044378","0.15","-0.115596175193787","12.9248421986898","0.413632823361291"
"square","tent12i_cap1","5000","0.226876880725225","0.23","-8.70905139711168","11.054095586141","0.490031338400311"
"square","tent12i_cap1","10000","0.405657711790668","0.41","65.9403534465366","11.0848433176676","0.498610254791048"
"square","tent12i_cap1","15000","0.596026022235553","0.60","226.896257188585","11.669673177931","0.475744333532121"
"square","tent12i_cap1","20000","0.881999312837919","0.88","473.759843614366","11.7868220011393","0.467656850814819"
"square","tent12i_cap1","30000","1.49006097184287","1.00","1152.22814941406","11.5057566960653","0.464429318904877"
"square","tent12i_cap1","40000","1.91177245775859","1.00","1832.14310709635","11.6804772218068","0.448342941701412"
"square","tent12i_cap1","50000","2.10516645577219","1.00","2433.66183810764","11.9689442316691","0.432889299260245"
"square","tent12i_cap1","70000","2.58615968757206","1.00","3162.27001953125","11.555105527242","0.446686741378572"
"square","tent12i_cap1","90000","3.16252641810311","1.00","3599.07622612847","11.8411563237508","0.441966387960646"
"square","tent12i_cap1","110000","3.58454316722022","1.00","3874.24536132813","12.0064690907796","0.446771065394084"
"square","tent12i_rs02","0","0.124333541964491","0.12","52.9324256049262","14.6690785090129","0.337148280607329"
"square","tent12i_rs02","5000","0.127961696022087","0.13","77.3301802741157","11.1474612553914","0.482175942924288"
"square","tent12i_rs02","10000","0.205669241646926","0.21","127.921090867784","11.488512357076","0.471570087803735"
"square","tent12i_rs02","15000","0.316158903638522","0.32","211.855561998155","11.6249295340644","0.464297549592124"
"square","tent12i_rs02","20000","0.467079013420476","0.47","344.445909288194","11.5396015379164","0.466451846890979"
"square","tent12i_rs02","30000","0.914307025074959","0.91","818.668470594618","11.6103240119086","0.462031321393119"
"square","tent12i_rs02","40000","1.71821060379346","1.72","1777.91946411133","11.7561446030935","0.446860603988171"
"square","tent12i_rs02","50000","3.04108784861035","3.04","3313.63338216146","11.3318070305718","0.456174102094438"
"square","tent12i_rs02","70000","7.28562485641903","7.29","8673.59049479167","11.5530157089233","0.426938934458627"
"square","tent12i_rs02","90000","12.0446950435638","12.04","16738.5810546875","11.9044859144423","0.383216288354662"
"square","tent12i_rs02","110000","16.8467425929175","16.85","23746.0950520833","11.9664593802558","0.375952574941847"
"square","fixa015_rs02","0","0.150000005960464","0.15","42.3926018608941","16.5957853529188","0.257453207340505"
"square","fixa015_rs02","5000","0.150000005960464","0.15","89.27113087972","12.3301467895508","0.447798318333096"
"square","fixa015_rs02","10000","0.150000005960464","0.15","129.995568169488","9.40192010667589","0.539425018760893"
"square","fixa015_rs02","15000","0.150000005960464","0.15","162.894936455621","6.44254944059584","0.622194117969937"
"square","fixa015_rs02","20000","0.150000005960464","0.15","196.328197903103","5.46944734785292","0.657682862546709"
"square","fixa015_rs02","30000","0.150000005960464","0.15","261.925698174371","3.12670078542497","0.70955491065979"
"square","fixa015_rs02","40000","0.150000005960464","0.15","305.160692850749","1.40894811227918","0.759155119458834"
"square","fixa015_rs02","50000","0.150000005960464","0.15","327.037153455946","-0.574536841776636","0.801359315713247"
"square","fixa015_rs02","70000","0.150000005960464","0.15","364.668226453993","-0.318172388606601","0.795041885640886"
"square","fixa015_rs02","90000","0.150000005960464","0.15","357.142673068576","-3.83627533912659","0.874086942937639"
"square","fixa015_rs02","110000","0.150000005960464","0.15","338.976447211372","-3.81205475330353","0.869267741839091"
"square","fixalpha_03","0","0.300000011920929","-","44.0936135609945","15.6129936218262","0.310058685143789"
"square","fixalpha_03","5000","0.300000011920929","-","97.5438893636068","11.1838944753011","0.48125883936882"
"square","fixalpha_03","10000","0.300000011920929","-","152.078701782227","6.35478706359863","0.631330533822377"
"square","fixalpha_03","15000","0.300000011920929","-","213.741637166341","3.70107686519623","0.695126815636953"
"square","fixalpha_03","20000","0.300000011920929","-","280.328838094076","2.39591298898061","0.732109093666077"
"square","fixalpha_03","30000","0.300000011920929","-","416.160046386719","0.945480174322923","0.764682857195536"
"square","fixalpha_03","40000","0.300000011920929","-","527.564999389648","-0.724731969833374","0.804995253682137"
"square","fixalpha_03","50000","0.300000011920929","-","614.715700276693","-1.33628386557102","0.821697890758514"
"square","fixalpha_03","70000","0.300000011920929","-","704.471352132161","-2.18398852348328","0.83299990495046"
"square","fixalpha_03","90000","0.300000011920929","-","730.903499348958","-3.09367486635844","0.861111454168956"
"square","fixalpha_03","110000","0.300000011920929","-","688.438848876953","-2.81627812385559","0.856359016895294"
"can","tent12i","0","0.148371556773782","-","0.0421022474765778","13.051753838857","0.418743600447973"
"can","tent12i","5000","0.186884494312108","-","-1.6452038983504","11.294783671697","0.490263869365056"
"can","tent12i","10000","0.240776634340485","-","30.4580693244934","11.7138778368632","0.472846349080404"
"can","tent12i","15000","0.274344692627589","-","65.9002097447713","11.6260537306468","0.475411670903365"
"can","tent12i","20000","0.312558479358753","-","102.093629837036","11.6378931999207","0.471457538505395"
"can","tent12i","30000","0.377356909016768","-","174.104483540853","11.5144701639811","0.471840075651805"
"can","tent12i","40000","0.415312249710162","-","230.240887959798","11.7884124120077","0.456202335655689"
"can","tent12i","50000","0.417463742693265","-","254.568330128988","11.9751219749451","0.446266594032447"
"can","tent12i","70000","0.350007842232784","-","214.169409434001","11.7503651777903","0.448315881192684"
"can","tent12i","90000","0.272266653130452","-","150.246688842773","11.9038888931274","0.44915679693222"
"can","tent12i","110000","0.190377987797062","-","69.0501561164856","11.9823140303294","0.449055428306262"
"can","tent12i_cap03","0","0.144026896326492","0.14","-2.71312996372581","13.6472100416819","0.386372697850068"
"can","tent12i_cap03","5000","0.183933345849315","0.18","-2.57210571567217","11.0681428114573","0.492057899634043"
"can","tent12i_cap03","10000","0.222485030815005","0.22","27.4007273515065","11.4105711778005","0.478745681544145"
"can","tent12i_cap03","15000","0.246544112451375","0.25","53.9975446065267","11.7355514367421","0.469152954717477"
"can","tent12i_cap03","20000","0.274730810833474","0.27","82.0426629384359","11.7992241382599","0.464210925002893"
"can","tent12i_cap03","30000","0.33786154995362","0.30","134.060650634766","11.5360522588094","0.470327361424764"
"can","tent12i_cap03","40000","0.37776338805755","0.30","169.939632415771","11.9757305781047","0.448824877540271"
"can","tent12i_cap03","50000","0.376379118238886","0.30","177.684272766113","12.0334754784902","0.445419659217199"
"can","tent12i_cap03","70000","0.337842909246683","0.30","168.611948649089","11.9814499219259","0.44471217195193"
"can","tent12i_cap03","90000","0.307525350848834","0.29","146.854067993164","11.8719432830811","0.447978156805038"
"can","tent12i_cap03","110000","0.263385480456054","0.26","119.201210657756","12.0074409643809","0.442172383268674"
"can","prefill_fixa015","0","0.150000005960464","-","-13.5038389762243","15.2315634886424","0.338003375877937"
"can","prefill_fixa015","5000","0.150000005960464","-","-0.0425660287340482","11.510133822759","0.49821820606788"
"can","prefill_fixa015","10000","0.150000005960464","-","5.0786754488945","11.3941465218862","0.500600005189578"
"can","prefill_fixa015","15000","0.150000005960464","-","-0.220853805541992","9.33868535359701","0.554731510579586"
