"task","group","n","seeds","step0","at5k","at10k","at10k_se","at15k","at20k","auc","auc_se","min_grid","min_at","pre","end","end_se","late","late_se","t80_n","s13_at10k","s13_auc","s13_end","s13_late","s13_at5k"
"square","baseline","5","1,2,3,4,5","0.51","0.28","0.234","0.0193907194296653","0.346","0.306","0.40094351612144","0.00725217731982954","0.234","10016","0.392","0.407","0.0598456347614427","0.3995","0.0523055924352263","0","0.21","0.404297874009571","0.471666666666667","0.455","0.243333333333333"
"square","tent12","5","1,2,3,4,5","0.466","0.354","0.404","0.019131126469709","0.412","0.476","0.404397505295364","0.0218393180241878","0.326","50080","0.336","0.369","0.0244642596454501","0.3525","0.0124749749498746","0","0.406666666666667","0.42774692084412","0.396666666666667","0.366666666666667","0.34"
"square","tent12_hq","3","1,2,3","0.52","0.35","0.33","0.0519615242270663","0.286666666666667","0.376666666666667","0.377937553934259","0.0143757740544184","0.286666666666667","15024","0.436666666666667","0.49","0.0225462487641145","0.463333333333333","0.0279259934668601","0","0.33","0.377937553934259","0.49","0.463333333333333","0.35"
"square","fixalpha_03","5","1,2,3,4,5","0.47","0.332","0.358","0.0432897216438267","0.344","0.438","0.414080960225936","0.0180592575138653","0.332","5008","0.399","0.364","0.0894622825552758","0.3815","0.0405323944518455","0","0.4","0.415856279908998","0.335","0.363333333333333","0.333333333333333"
"square","mix_prefill","3","1,2,3","0.513333333333333","0.303333333333333","0.03","0.0152752523165195","0.143333333333333","0.346666666666667","0.432351925943359","0.0242535194046619","0.03","10016","0.626666666666667","0.621666666666667","0.024551533104427","0.624166666666667","0.0234668797338812","0","0.03","0.432351925943359","0.621666666666667","0.624166666666667","0.303333333333333"
"square","iql","3","1,2,3","0.473333333333333","0.4","0.503333333333333","0.017638342073764","0.423333333333333","0.406666666666667","0.436525456970268","0.00462209081883678","0.37","30048","0.476666666666667","0.561666666666667","0.0145296631451356","0.519166666666667","0.0237317181098302","0","0.503333333333333","0.436525456970268","0.561666666666667","0.519166666666667","0.4"
"square","tent6","3","1,2,3","0.496666666666667","0.313333333333333","0.276666666666667","0.0133333333333333","0.34","0.436666666666667","0.377893622028713","0.00966773299165719","0.243333333333333","65104","0.3","0.291666666666667","0.0549494717394485","0.295833333333333","0.0344399638662864","0","0.276666666666667","0.377893622028713","0.291666666666667","0.295833333333333","0.313333333333333"
"square","tent12i","3","1,2,3","0.456666666666667","0.39","0.39","0.06557438524302","0.563333333333333","0.486666666666667","0.469588530634659","0.0113357098369466","0.39","5008","0.445","0.485","0.0208166599946613","0.465","0.00721687836487033","0","0.39","0.469588530634659","0.485","0.465","0.39"
"square","tent12i_cap03","3","1,2,3","0.466666666666667","0.336666666666667","0.333333333333333","0.0648930744464393","0.443333333333333","0.53","0.489601474856829","0.00342434304555711","0.333333333333333","10016","0.561666666666667","0.521666666666667","0.0682112730989371","0.541666666666667","0.027246304540453","0","0.333333333333333","0.489601474856829","0.521666666666667","0.541666666666667","0.336666666666667"
"square","tent12i_cap1","3","1,2,3","0.466666666666667","0.286666666666667","0.343333333333333","0.0993870101058372","0.39","0.49","0.451822389581862","0.0230375483069625","0.286666666666667","5008","0.311666666666667","0.24","0.0246644143115812","0.275833333333333","0.0397998464541985","0","0.343333333333333","0.451822389581862","0.24","0.275833333333333","0.286666666666667"
