"task","group","seed","n_evals","step0","auc","at5k","at10k","at15k","at20k","pre","end","t80","late"
"can","baseline","1","24","0.66","0.432318382817435","0.34","0.26","0.3","0.45","0.56","0.52","NaN","0.54"
"can","baseline","2","24","0.5","0.488217519477785","0.5","0.52","0.2","0.48","0.525","0.53","180160","0.5275"
"can","baseline","3","24","0.34","0.375363234365129","0.43","0.13","0.14","0.41","0.545","0.37","NaN","0.4575"
"can","baseline","4","18","0.42","0.428818698673405","0.29","0.02","0.4","0.5","0.33","0.515","NaN","0.4225"
"can","baseline","5","18","0.6","0.321352916403453","0.7","0.47","0.15","0.17","0.6","0.725","NaN","0.6625"
"can","calql_prefill","1","18","0.67","0.675319014529375","0.52","0.71","0.67","0.5","0.86","0.735","80128","0.7975"
"can","calql_prefill","2","18","0.58","0.662023583912403","0.37","0.56","0.67","0.75","0.865","0.785","55088","0.825"
"can","calql_prefill","3","18","0.27","0.626592966940408","0.19","0.63","0.61","0.48","0.665","0.775","75120","0.72"
"can","fixalpha_01","1","18","0.72","0.516546641398189","0.08","0.12","0.61","0.59","0.695","0.62","NaN","0.6575"
"can","fixalpha_01","2","18","0.5","0.535374815750684","0.34","0.07","0.47","0.46","0.49","0.565","NaN","0.5275"
"can","fixalpha_01","3","18","0.31","0.45053590229522","0.01","0.23","0.41","0.28","0.315","0.69","NaN","0.5025"
"can","fixalpha_03","1","18","0.75","0.672466835123184","0.65","0.52","0.58","0.7","0.635","0.74","70112","0.6875"
"can","fixalpha_03","2","18","0.52","0.687932196251842","0.49","0.73","0.53","0.55","0.815","0.655","25040","0.735"
"can","fixalpha_03","3","18","0.29","0.676432933249105","0.19","0.32","0.76","0.57","0.815","0.78","50080","0.7975"
"can","fixalpha_03","4","18","0.61","0.599092440513792","0.61","0.55","0.59","0.37","0.785","0.78","70112","0.7825"
"can","fixalpha_03","5","18","0.68","0.64642135186355","0.4","0.4","0.7","0.61","0.73","0.74","NaN","0.735"
"can","hardq","1","31","0.72","0.344711518214361","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
