"group","bin","alpha","critic_alpha","qw","H"
"tent12","0","0.403348990877469","-","143.142102050781","15.1504441579183"
"tent12","5000","0.391274608472983","-","184.602109781901","11.2065731684367"
"tent12","10000","0.615618901948134","-","307.813483683268","11.4201485315959"
"tent12","20000","1.33034192204475","-","956.022302246094","11.4610269546509"
"tent12","30000","2.30019244074821","-","2143.96808268229","11.6595794041951"
"tent12","50000","6.432661430041","-","7536.6740234375","11.775745455424"
"tent12","70000","10.415729376475","-","15279.6444010417","11.8323689778646"
"tent12","90000","15.3790200614929","-","22998.012109375","11.9257033665975"
"tent12","110000","20.0966480191549","-","29595.90859375","11.6452494939168"
"tent12r","0","0.410114311675231","0.41","143.663447062174","14.5526913536919"
"tent12r","5000","0.387975104153156","0.39","184.663787841797","11.1636555989583"
"tent12r","10000","0.623914296097226","0.62","305.216286553277","11.5422836939494"
"tent12r","20000","1.30091719726721","1.30","915.070407443576","11.6432888242933"
"tent12r","30000","2.25680901209513","2.26","2040.75737847222","11.9181427425808"
"tent12r","50000","6.00336150063409","6.00","6950.5064561632","11.6499019198948"
"tent12r","70000","10.1463161627452","10.15","14215.8501519097","12.1430295308431"
"tent12r","90000","14.1877231491937","14.19","22152.8810763889","11.9649875428942"
"tent12r","110000","20.1938274595473","20.19","28707.6807725694","12.1113925509983"
"tent12i","0","0.14475422265629","0.14","4.19280139605204","12.6327205022176"
"tent12i","5000","0.233398630420367","0.23","1.55840706030528","11.1376513799032"
"tent12i","10000","0.440051612555981","0.44","95.3422566731771","11.0233781814575"
"tent12i","20000","1.00792393406232","1.01","587.801670328776","11.5028095881144"
"tent12i","30000","1.96581715583801","1.97","1666.76033528646","11.6435545603434"
"tent12i","50000","5.92233215332031","5.92","6885.1365234375","11.8934488932292"
"tent12i","70000","9.80045130093892","9.80","14627.9865885417","11.8443488438924"
"tent12i","90000","14.1689439964294","14.17","22412.595703125","11.7756137212118"
"tent12i","110000","18.5165766588847","18.52","29319.95625","12.285684521993"
"tent12i_cap03","0","0.149726281762123","0.15","5.73397304614385","12.7864959081014"
"tent12i_cap03","5000","0.238090937534968","0.24","11.9852834463119","10.9882171630859"
"tent12i_cap03","10000","0.407452993194262","0.30","81.6822814941406","11.1444187164307"
"tent12i_cap03","20000","0.615040331085523","0.30","271.154044596354","11.4453028361003"
"tent12i_cap03","30000","0.802242404222488","0.30","465.393450927734","11.6754978179932"
"tent12i_cap03","50000","1.06506674349308","0.30","832.405419921875","11.8259989420573"
