"task","group","n","seeds","step0","at10k","at10k_se","auc","auc_se","min_grid","min_at","at62k","pre","end","end_se","late","late_se"
"square","baseline","5","1,2,3,4,5","0.51","0.234","0.0193907194296653","0.40094351612144","0.00725217731982954","0.234","10016","0.504","0.392","0.407","0.0598456347614427","0.3995","0.0523055924352263"
"square","tent12","5","1,2,3,4,5","0.466","0.404","0.019131126469709","0.404397505295364","0.0218393180241878","0.326","50080","0.356","0.336","0.369","0.0244642596454501","0.3525","0.0124749749498746"
"square","tent12r","3","1,2,3","0.49","0.306666666666667","0.0523874454850057","0.400110222013023","0.0360642980556089","0.306666666666667","10016","0.353333333333333","0.358333333333333","0.475","0.033291640592397","0.416666666666667","0.0553837621610442"
"square","tent12_hq","3","1,2,3","0.52","0.33","0.0519615242270663","0.377937553934259","0.0143757740544184","0.286666666666667","15024","0.406666666666667","0.436666666666667","0.49","0.0225462487641145","0.463333333333333","0.0279259934668601"
"square","fixalpha_03","5","1,2,3,4,5","0.47","0.358","0.0432897216438267","0.414080960225936","0.0180592575138653","0.332","5008","0.402","0.399","0.364","0.0894622825552758","0.3815","0.0405323944518455"
"square","mix_prefill","3","1,2,3","0.513333333333333","0.03","0.0152752523165195","0.432351925943359","0.0242535194046619","0.03","10016","0.566666666666667","0.626666666666667","0.621666666666667","0.024551533104427","0.624166666666667","0.0234668797338812"
"square","iql","3","1,2,3","0.473333333333333","0.503333333333333","0.017638342073764","0.436525456970268","0.00462209081883678","0.37","30048","0.433333333333333","0.476666666666667","0.561666666666667","0.0145296631451356","0.519166666666667","0.0237317181098302"
"square","td","3","1,2,3","0.466666666666667","0.456666666666667","0.0491030662088541","0.492467639444575","0.0197470215699324","0.44","40064","0.47","0.326666666666667","0.421666666666667","0.0635959467611297","0.374166666666667","0.0545690184791497"
"square","tent12i","5","1,2,3,4,5","0.454","0.382","0.0367967389859482","0.470150859025653","0.0181337035724841","0.368","5008","0.444","0.442","0.489","0.0150332963783729","0.4655","0.0166845737134636"
"square","tent12i_cap03","5","1,2,3,4,5","0.464","0.314","0.0382883794381533","0.499197458225465","0.00747494816859956","0.314","10016","0.568","0.543","0.517","0.0376031913539263","0.53","0.0194775511807825"
"square","tent12i_cap1","3","1,2,3","0.466666666666667","0.343333333333333","0.0993870101058372","0.451822389581862","0.0230375483069625","0.286666666666667","5008","0.313333333333333","0.311666666666667","0.24","0.0246644143115812","0.275833333333333","0.0397998464541985"
"square","tent12i_cfix03","3","1,2,3","0.503333333333333","0.396666666666667","0.0817176711475418","0.489748568290578","0.00704336737859656","0.296666666666667","5008","0.533333333333333","0.535","0.528333333333333","0.0441902452785429","0.531666666666667","0.00961046882889235"
"square","tent12i_cfix1","3","1,2,3","0.463333333333333","0.293333333333333","0.0260341655863555","0.413480426767082","0.0106396097020124","0.293333333333333","10016","0.373333333333333","0.321666666666667","0.223333333333333","0.0581186525805423","0.2725","0.079411900871343"
"square","tent12i_g099","3","1,2,3","0.446666666666667","0.303333333333333","0.0176383420737639","0.446033968776967","0.0161573078480733","0.303333333333333","10016","0.376666666666667","0.386666666666667","0.333333333333333","0.0387656778320434","0.36","0.0373329613076702"
"square","tent12i_rs02","3","1,2,3","0.483333333333333","0.37","0.0378593889720018","0.387654350043147","0.0155746375609279","0.27","55088","0.276666666666667","0.371666666666667","0.358333333333333","0.01092906420717","0.365","0.0137689263682153"
"square","fixa015_rs02","3","1,2,3","0.476666666666667","0.386666666666667","0.0417665469538056","0.279158233309798","0.0567777704767061","0.15","65104","0.15","0.118333333333333","0.085","0.023094010767585","0.101666666666667","0.0178146319386933"
"can","baseline","5","1,2,3,4,5","0.504","0.28","0.0959687449120806","0.409214150347442","0.0283064985030289","0.238","15024","NaN","0.512","0.532","0.0565375981095766","0.522","0.0413249319418677"
"can","tent12i","3","1,2,3","0.563333333333333","0.46","0.0642910050732864","0.594208956271496","0.0521249891167323","0.46","10016","NaN","0.655","0.696666666666667","0.0583333333333333","0.675833333333333","0.0715939553624776"
"can","tent12i_hq","3","1,2,3","0.503333333333333","0.246666666666667","0.0133333333333333","0.390618024847336","0.0187385415197557","0.18","5008","NaN","0.49","0.46","0.0482182538049648","0.475","0.0458257569495584"
"can","tent12i_cap03","3","1,2,3","0.513333333333333","0.343333333333333","0.047022453265553","0.642068505650312","0.0107941560757972","0.343333333333333","10016","NaN","0.766666666666667","0.771666666666667","0.0183333333333334","0.769166666666667","0.0228369826767412"
"can","fixalpha_03","5","1,2,3,4,5","0.57","0.504","0.0700428440313498","0.656469151400295","0.0158704865855129","0.468","5008","NaN","0.756","0.739","0.0228254244210267","0.7475","0.0195416222458628"
"can","prefill_fixa015","3","1,2,3","0.5","0.44","0.0929157324317757","0.776599284059802","0.0283159704302018","0.44","10016","NaN","0.866666666666667","0.93","0.0208166599946613","0.898333333333333","0.0183900637422616"
