"task","group","seed","n_evals","last_env","step0","auc","at5k","at10k","at15k","at20k","at62k","pre","end","late"
"can","baseline","1","24","279200","0.66","0.432318382817435","0.34","0.26","0.3","0.45","NaN","0.56","0.52","0.54"
"can","baseline","2","24","279200","0.5","0.488217519477785","0.5","0.52","0.2","0.48","NaN","0.525","0.53","0.5275"
"can","baseline","3","24","279200","0.34","0.375363234365129","0.43","0.13","0.14","0.41","NaN","0.545","0.37","0.4575"
"can","baseline","4","18","129152","0.42","0.428818698673405","0.29","0.02","0.4","0.5","NaN","0.33","0.515","0.4225"
"can","baseline","5","18","129152","0.6","0.321352916403453","0.7","0.47","0.15","0.17","NaN","0.6","0.725","0.6625"
"can","fixalpha_03","1","18","129152","0.75","0.672466835123184","0.65","0.52","0.58","0.7","NaN","0.635","0.74","0.6875"
"can","fixalpha_03","2","18","129152","0.52","0.687932196251842","0.49","0.73","0.53","0.55","NaN","0.815","0.655","0.735"
"can","fixalpha_03","3","18","129152","0.29","0.676432933249105","0.19","0.32","0.76","0.57","NaN","0.815","0.78","0.7975"
"can","fixalpha_03","4","18","129152","0.61","0.599092440513792","0.61","0.55","0.59","0.37","NaN","0.785","0.78","0.7825"
"can","fixalpha_03","5","18","129152","0.68","0.64642135186355","0.4","0.4","0.7","0.61","NaN","0.73","0.74","0.735"
"can","prefill_fixa015","1","18","129152","0.7","0.755444304064014","0.31","0.27","0.58","0.81","NaN","0.815","0.94","0.8775"
"can","prefill_fixa015","2","18","129152","0.51","0.832671088650242","0.75","0.59","0.82","0.76","NaN","0.875","0.89","0.8825"
"can","prefill_fixa015","3","18","129152","0.29","0.741682459465151","0.36","0.46","0.72","0.8","NaN","0.91","0.96","0.935"
"can","tent12i","1","18","129152","0.69","0.524785217940619","0.07","0.48","0.3","0.49","NaN","0.69","0.68","0.685"
"can","tent12i","2","18","129152","0.62","0.561568751316067","0.74","0.34","0.7","0.49","NaN","0.49","0.605","0.5475"
"can","tent12i","3","18","129152","0.38","0.696272899557802","0.78","0.56","0.61","0.81","NaN","0.785","0.805","0.795"
"can","tent12i_cap03","1","18","129152","0.74","0.659988418614445","0.52","0.25","0.54","0.67","NaN","0.68","0.79","0.735"
"can","tent12i_cap03","2","18","129152","0.54","0.622682670035797","0.35","0.38","0.56","0.8","NaN","0.785","0.735","0.76"
"can","tent12i_cap03","3","18","129152","0.26","0.643534428300695","0.36","0.4","0.63","0.6","NaN","0.835","0.79","0.8125"
"can","tent12i_hq","1","18","129152","0.75","0.426068646030743","0.27","0.26","0.23","0.36","NaN","0.565","0.445","0.505"
"can","tent12i_hq","2","18","129152","0.51","0.362364708359655","0.18","0.26","0.27","0.43","NaN","0.52","0.55","0.535"
"can","tent12i_hq","3","18","129152","0.25","0.383420720151611","0.09","0.22","0.32","0.37","NaN","0.385","0.385","0.385"
"square","baseline","1","16","127136","0.57","0.402449988232525","0.26","0.2","0.29","0.46","0.51","0.29","0.355","0.3225"
"square","baseline","2","16","127136","0.57","0.424659919981172","0.21","0.24","0.38","0.19","0.53","0.45","0.625","0.5375"
"square","baseline","3","16","127136","0.45","0.385783713815015","0.26","0.19","0.36","0.31","0.56","0.575","0.435","0.505"
"square","baseline","4","16","127136","0.51","0.406077900682514","0.28","0.24","0.35","0.27","0.5","0.39","0.34","0.365"
"square","baseline","5","16","127136","0.45","0.385746057895976","0.39","0.3","0.35","0.3","0.42","0.255","0.28","0.2675"
"square","fixa015_rs02","1","16","127136","0.47","0.17504589315133","0.28","0.35","0.36","0.16","0.15","0.13","0.125","0.1275"
"square","fixa015_rs02","2","16","127136","0.41","0.370477759472817","0.4","0.34","0.39","0.53","0.19","0.175","0.045","0.11"
"square","fixa015_rs02","3","16","127136","0.55","0.291951047305248","0.5","0.47","0.33","0.36","0.11","0.05","0.085","0.0675"
"square","fixalpha_03","1","16","127136","0.44","0.350313014827018","0.3","0.4","0.5","0.33","0.34","0.435","0.09","0.2625"
"square","fixalpha_03","2","16","127136","0.49","0.45335137679454","0.38","0.51","0.27","0.48","0.39","0.34","0.315","0.3275"
"square","fixalpha_03","3","16","127136","0.52","0.443904448105437","0.32","0.29","0.26","0.4","0.48","0.4","0.6","0.5"
"square","fixalpha_03","4","16","127136","0.46","0.409116262650035","0.37","0.3","0.41","0.52","0.45","0.325","0.515","0.42"
"square","fixalpha_03","5","16","127136","0.44","0.413719698752648","0.29","0.29","0.28","0.46","0.35","0.495","0.3","0.3975"
"square","iql","1","16","127136","0.51","0.439686985172982","0.34","0.47","0.42","0.3","0.45","0.565","0.535","0.55"
"square","iql","2","16","127136","0.46","0.427421746293246","0.42","0.53","0.46","0.41","0.43","0.38","0.565","0.4725"
"square","iql","3","16","127136","0.45","0.442467639444575","0.44","0.51","0.39","0.51","0.42","0.485","0.585","0.535"
"square","mix_prefill","1","16","127136","0.54","0.416759237467639","0.19","0.06","0.1","0.43","0.5","0.675","0.59","0.6325"
"square","mix_prefill","2","16","127136","0.54","0.400369498705578","0.33","0.02","0.19","0.33","0.6","0.555","0.605","0.58"
"square","mix_prefill","3","16","127136","0.46","0.47992704165686","0.39","0.01","0.14","0.28","0.6","0.65","0.67","0.66"
"square","td","1","16","127136","0.48","0.52","0.5","0.37","0.52","0.53","0.52","0.32","0.495","0.4075"
"square","td","2","16","127136","0.52","0.454179807013415","0.36","0.46","0.59","0.56","0.34","0.24","0.295","0.2675"
"square","td","3","16","127136","0.4","0.503223111320311","0.57","0.54","0.65","0.53","0.55","0.42","0.475","0.4475"
"square","tent12","1","16","127136","0.43","0.480828430218875","0.36","0.4","0.57","0.57","0.43","0.425","0.345","0.385"
"square","tent12","2","16","127136","0.52","0.37670393033655","0.24","0.35","0.42","0.42","0.45","0.24","0.455","0.3475"
"square","tent12","3","16","127136","0.53","0.425708401976936","0.42","0.47","0.38","0.55","0.32","0.345","0.39","0.3675"
"square","tent12","4","16","127136","0.46","0.372761826312073","0.45","0.4","0.36","0.51","0.27","0.3","0.32","0.31"
"square","tent12","5","16","127136","0.39","0.365984937632384","0.3","0.4","0.33","0.33","0.31","0.37","0.335","0.3525"
"square","tent12_hq","1","16","127136","0.5","0.352983054836432","0.36","0.42","0.32","0.27","0.29","0.37","0.445","0.4075"
"square","tent12_hq","2","16","127136","0.53","0.378047775947282","0.34","0.33","0.32","0.46","0.36","0.47","0.51","0.49"
"square","tent12_hq","3","16","127136","0.53","0.402781831019063","0.35","0.24","0.22","0.4","0.57","0.47","0.515","0.4925"
"square","tent12i","1","16","127136","0.47","0.455267121675688","0.46","0.31","0.54","0.44","0.47","0.475","0.455","0.465"
"square","tent12i","2","16","127136","0.5","0.491969875264768","0.29","0.52","0.71","0.52","0.38","0.43","0.475","0.4525"
"square","tent12i","3","16","127136","0.4","0.461528594963521","0.42","0.34","0.44","0.5","0.47","0.43","0.525","0.4775"
"square","tent12i","4","16","127136","0.53","0.417127559425747","0.23","0.35","0.34","0.28","0.5","0.365","0.465","0.415"
"square","tent12i","5","16","127136","0.37","0.524861143798541","0.44","0.39","0.52","0.52","0.4","0.51","0.525","0.5175"
"square","tent12i_cap03","1","16","127136","0.47","0.484328077194634","0.31","0.21","0.49","0.48","0.53","0.55","0.43","0.49"
"square","tent12i_cap03","2","16","127136","0.41","0.488453753824429","0.35","0.36","0.33","0.58","0.61","0.51","0.655","0.5825"
"square","tent12i_cap03","3","16","127136","0.52","0.496022593551424","0.35","0.43","0.51","0.53","0.58","0.625","0.48","0.5525"
"square","tent12i_cap03","4","16","127136","0.51","0.526942810072958","0.25","0.31","0.37","0.55","0.51","0.57","0.52","0.545"
"square","tent12i_cap03","5","16","127136","0.41","0.500240056483879","0.32","0.26","0.3","0.58","0.61","0.46","0.5","0.48"
"square","tent12i_cap1","1","16","127136","0.49","0.495506001412097","0.33","0.54","0.44","0.61","0.42","0.305","0.235","0.27"
"square","tent12i_cap1","2","16","127136","0.48","0.417292304071546","0.22","0.22","0.33","0.46","0.33","0.41","0.285","0.3475"
"square","tent12i_cap1","3","16","127136","0.43","0.442668863261944","0.31","0.27","0.4","0.4","0.19","0.22","0.2","0.21"
"square","tent12i_cfix03","1","16","127136","0.53","0.491068486702754","0.44","0.31","0.36","0.46","0.55","0.595","0.44","0.5175"
"square","tent12i_cfix03","2","16","127136","0.48","0.476942810072958","0.27","0.32","0.37","0.47","0.46","0.525","0.575","0.55"
"square","tent12i_cfix03","3","16","127136","0.5","0.501234408096023","0.18","0.56","0.53","0.46","0.59","0.485","0.57","0.5275"
"square","tent12i_cfix1","1","16","127136","0.53","0.393756177924217","0.21","0.29","0.39","0.42","0.27","0.105","0.13","0.1175"
"square","tent12i_cfix1","2","16","127136","0.38","0.416427394681101","0.32","0.25","0.25","0.39","0.44","0.43","0.33","0.38"
"square","tent12i_cfix1","3","16","127136","0.48","0.430257707695928","0.47","0.34","0.29","0.35","0.41","0.43","0.21","0.32"
"square","tent12i_g099","1","16","127136","0.48","0.462061661567428","0.31","0.33","0.61","0.45","0.3","0.39","0.305","0.3475"
"square","tent12i_g099","2","16","127136","0.4","0.413719698752648","0.22","0.27","0.24","0.47","0.35","0.45","0.41","0.43"
"square","tent12i_g099","3","16","127136","0.46","0.462320546010826","0.42","0.31","0.54","0.49","0.48","0.32","0.285","0.3025"
"square","tent12i_rs02","1","16","127136","0.53","0.417771240291833","0.3","0.44","0.42","0.55","0.35","0.385","0.35","0.3675"
"square","tent12i_rs02","2","16","127136","0.45","0.365708401976936","0.3","0.36","0.45","0.44","0.26","0.395","0.38","0.3875"
"square","tent12i_rs02","3","16","127136","0.47","0.379483407860673","0.45","0.31","0.5","0.39","0.22","0.335","0.345","0.34"
"square","tent12r","1","16","127136","0.5","0.425174158625559","0.31","0.21","0.5","0.46","0.29","0.39","0.52","0.455"
"square","tent12r","2","16","127136","0.46","0.329005648387856","0.48","0.39","0.34","0.56","0.35","0.205","0.41","0.3075"
"square","tent12r","3","16","127136","0.51","0.446150859025653","0.39","0.32","0.49","0.39","0.42","0.48","0.495","0.4875"
